row;col;r;c;value;status
"Terres de l'Ebre";09/2018;12;84;51,4;
"Terres de l'Ebre";08/2018;12;85;68,9;
"Terres de l'Ebre";07/2018;12;86;56,3;
"Terres de l'Ebre";06/2018;12;87;51,3;
"Terres de l'Ebre";05/2018;12;88;45,7;
"Terres de l'Ebre";04/2018;12;89;44,4;
"Terres de l'Ebre";03/2018;12;90;51,3;
"Terres de l'Ebre";02/2018;12;91;22,7;
"Terres de l'Ebre";01/2018;12;92;23,2;
"Terres de l'Ebre";12/2017;12;93;30,5;
"Terres de l'Ebre";11/2017;12;94;32,8;
"Terres de l'Ebre";10/2017;12;95;46;
"Terres de l'Ebre";09/2017;12;96;60,8;
"Terres de l'Ebre";08/2017;12;97;74,7;
"Terres de l'Ebre";07/2017;12;98;67,5;
"Terres de l'Ebre";06/2017;12;99;53,2;
"Terres de l'Ebre";05/2017;12;100;46,4;
"Terres de l'Ebre";04/2017;12;101;57,9;
"Terres de l'Ebre";03/2017;12;102;46,7;
"Terres de l'Ebre";02/2017;12;103;25,1;
"Terres de l'Ebre";01/2017;12;104;21,5;
"Terres de l'Ebre";12/2016;12;105;31,4;
"Terres de l'Ebre";11/2016;12;106;32,1;
"Terres de l'Ebre";10/2016;12;107;45,9;
"Terres de l'Ebre";09/2016;12;108;56,3;
"Terres de l'Ebre";08/2016;12;109;75,5;
"Terres de l'Ebre";07/2016;12;110;61,8;
"Terres de l'Ebre";06/2016;12;111;47,5;
"Terres de l'Ebre";05/2016;12;112;47,7;
"Terres de l'Ebre";04/2016;12;113;41,9;
"Terres de l'Ebre";03/2016;12;114;45;
"Terres de l'Ebre";02/2016;12;115;29,8;
"Terres de l'Ebre";01/2016;12;116;22,8;
"Terres de l'Ebre";12/2015;12;117;28,4;
"Terres de l'Ebre";11/2015;12;118;30,1;
"Terres de l'Ebre";10/2015;12;119;38,2;
"Terres de l'Ebre";09/2015;12;120;51,2;
"Terres de l'Ebre";08/2015;12;121;68,7;
"Terres de l'Ebre";07/2015;12;122;56,6;
"Terres de l'Ebre";06/2015;12;123;43,8;
"Terres de l'Ebre";05/2015;12;124;36,9;
"Terres de l'Ebre";04/2015;12;125;40,9;
"Terres de l'Ebre";03/2015;12;126;36,7;
"Terres de l'Ebre";02/2015;12;127;25;
"Terres de l'Ebre";01/2015;12;128;19,6;
"Terres de l'Ebre";12/2014;12;129;22;
"Terres de l'Ebre";11/2014;12;130;25,8;
"Terres de l'Ebre";10/2014;12;131;26,6;
"Terres de l'Ebre";09/2014;12;132;46,9;
"Terres de l'Ebre";08/2014;12;133;63,9;
"Terres de l'Ebre";07/2014;12;134;53,4;
"Terres de l'Ebre";06/2014;12;135;38,8;
"Terres de l'Ebre";05/2014;12;136;36,8;
"Terres de l'Ebre";04/2014;12;137;37,4;
"Terres de l'Ebre";03/2014;12;138;29,1;
"Terres de l'Ebre";02/2014;12;139;20,7;
"Terres de l'Ebre";01/2014;12;140;17,5;
"Terres de l'Ebre";12/2013;12;141;20,5;
"Terres de l'Ebre";11/2013;12;142;23,4;
"Terres de l'Ebre";10/2013;12;143;30,2;
"Terres de l'Ebre";09/2013;12;144;43,6;
"Terres de l'Ebre";08/2013;12;145;62,9;
"Terres de l'Ebre";07/2013;12;146;51,4;
"Terres de l'Ebre";06/2013;12;147;38,9;
"Terres de l'Ebre";05/2013;12;148;34,9;
"Terres de l'Ebre";04/2013;12;149;36,2;
"Terres de l'Ebre";03/2013;12;150;40,5;
"Terres de l'Ebre";02/2013;12;151;19,7;
"Terres de l'Ebre";01/2013;12;152;16,6;
"Terres de l'Ebre";12/2012;12;153;22,4;
"Terres de l'Ebre";11/2012;12;154;25,6;
"Terres de l'Ebre";10/2012;12;155;24,3;
"Terres de l'Ebre";09/2012;12;156;47,4;
"Terres de l'Ebre";08/2012;12;157;60,5;
"Terres de l'Ebre";07/2012;12;158;51,3;
"Terres de l'Ebre";06/2012;12;159;44,4;
"Terres de l'Ebre";05/2012;12;160;35,9;
"Terres de l'Ebre";04/2012;12;161;41,4;
"Terres de l'Ebre";03/2012;12;162;30,4;
"Terres de l'Ebre";02/2012;12;163;22,7;
"Terres de l'Ebre";01/2012;12;164;18,3;
"Terres de l'Ebre";12/2011;12;165;21,8;
"Terres de l'Ebre";11/2011;12;166;21,5;
"Terres de l'Ebre";10/2011;12;167;31,7;
"Terres de l'Ebre";09/2011;12;168;40,8;
"Terres de l'Ebre";08/2011;12;169;61,3;
"Terres de l'Ebre";07/2011;12;170;53,5;
"Terres de l'Ebre";06/2011;12;171;42,6;
"Terres de l'Ebre";05/2011;12;172;35,1;
"Terres de l'Ebre";04/2011;12;173;39,2;
"Terres de l'Ebre";03/2011;12;174;27,2;
"Terres de l'Ebre";02/2011;12;175;28,7;
"Terres de l'Ebre";01/2011;12;176;20,8;
"Terres de l'Ebre";12/2010;12;177;24,3;
"Terres de l'Ebre";11/2010;12;178;24,3;
"Terres de l'Ebre";10/2010;12;179;35,2;
"Terres de l'Ebre";09/2010;12;180;43;
"Terres de l'Ebre";08/2010;12;181;67,6;
"Terres de l'Ebre";07/2010;12;182;47,6;
"Terres de l'Ebre";06/2010;12;183;45,2;
"Terres de l'Ebre";05/2010;12;184;42,5;
"Terres de l'Ebre";04/2010;12;185;46,1;
"Terres de l'Ebre";03/2010;12;186;32,5;
"Terres de l'Ebre";02/2010;12;187;24,2;
"Terres de l'Ebre";01/2010;12;188;21;
"Terres de l'Ebre";12/2009;12;189;27,8;
"Terres de l'Ebre";11/2009;12;190;26,5;
"Terres de l'Ebre";10/2009;12;191;27;
"Terres de l'Ebre";09/2009;12;192;36,5;
"Terres de l'Ebre";08/2009;12;193;60,1;
"Terres de l'Ebre";07/2009;12;194;48,4;
"Terres de l'Ebre";06/2009;12;195;45,7;
"Terres de l'Ebre";05/2009;12;196;42,4;
"Terres de l'Ebre";04/2009;12;197;46;
"Terres de l'Ebre";03/2009;12;198;28,3;
"Terres de l'Ebre";02/2009;12;199;23,7;
"Terres de l'Ebre";01/2009;12;200;20,5;
"Terres de l'Ebre";12/2008;12;201;25,5;
"Terres de l'Ebre";11/2008;12;202;26;
"Terres de l'Ebre";10/2008;12;203;27,7;
"Terres de l'Ebre";09/2008;12;204;36,7;
"Terres de l'Ebre";08/2008;12;205;59,2;
"Terres de l'Ebre";07/2008;12;206;53,6;
"Terres de l'Ebre";06/2008;12;207;36,5;
"Terres de l'Ebre";05/2008;12;208;40,6;
"Terres de l'Ebre";04/2008;12;209;43,5;
"Terres de l'Ebre";03/2008;12;210;34,3;
"Terres de l'Ebre";02/2008;12;211;32,3;
"Terres de l'Ebre";01/2008;12;212;24,3;
"Terres de l'Ebre";12/2007;12;213;36,7;
"Terres de l'Ebre";11/2007;12;214;43,3;
"Terres de l'Ebre";10/2007;12;215;30,4;
"Terres de l'Ebre";09/2007;12;216;45,8;
"Terres de l'Ebre";08/2007;12;217;67,6;
"Terres de l'Ebre";07/2007;12;218;63,1;
"Terres de l'Ebre";06/2007;12;219;52,7;
"Terres de l'Ebre";05/2007;12;220;49,2;
"Terres de l'Ebre";04/2007;12;221;57;
"Terres de l'Ebre";03/2007;12;222;57,4;
"Terres de l'Ebre";02/2007;12;223;34,8;
"Terres de l'Ebre";01/2007;12;224;28,7;
"Terres de l'Ebre";12/2006;12;225;33,7;
"Terres de l'Ebre";11/2006;12;226;43,3;
"Terres de l'Ebre";10/2006;12;227;42,5;
"Terres de l'Ebre";09/2006;12;228;49,5;
"Terres de l'Ebre";08/2006;12;229;71,1;
"Terres de l'Ebre";07/2006;12;230;57,2;
"Terres de l'Ebre";06/2006;12;231;49,7;
"Terres de l'Ebre";05/2006;12;232;43,3;
"Terres de l'Ebre";04/2006;12;233;48;
"Terres de l'Ebre";03/2006;12;234;37,3;
"Terres de l'Ebre";02/2006;12;235;37,1;
"Terres de l'Ebre";01/2006;12;236;30,6;
"Val d'Aran";"08/2025 (p)";13;1;70,2;
"Val d'Aran";"07/2025 (p)";13;2;54,6;
"Val d'Aran";"06/2025 (p)";13;3;48,2;
"Val d'Aran";"05/2025 (p)";13;4;44,3;
"Val d'Aran";"04/2025 (p)";13;5;36,8;
"Val d'Aran";"03/2025 (p)";13;6;52,7;
"Val d'Aran";"02/2025 (p)";13;7;71,1;
"Val d'Aran";"01/2025 (p)";13;8;65,5;
"Val d'Aran";12/2024;13;9;47;
"Val d'Aran";11/2024;13;10;37,9;
"Val d'Aran";10/2024;13;11;41,1;
"Val d'Aran";09/2024;13;12;44,8;
"Val d'Aran";08/2024;13;13;71;
"Val d'Aran";07/2024;13;14;57,6;
"Val d'Aran";06/2024;13;15;47,6;
"Val d'Aran";05/2024;13;16;32,1;
"Val d'Aran";04/2024;13;17;27,2;
"Val d'Aran";03/2024;13;18;57;
"Val d'Aran";"02/2024 (p)";13;19;68,4;
"Val d'Aran";01/2024;13;20;67;
"Val d'Aran";12/2023;13;21;45,7;
"Val d'Aran";11/2023;13;22;28,9;
"Val d'Aran";10/2023;13;23;38,7;
"Val d'Aran";09/2023;13;24;51,2;
"Val d'Aran";08/2023;13;25;67,9;
"Val d'Aran";07/2023;13;26;50,8;
"Val d'Aran";06/2023;13;27;41,6;
"Val d'Aran";05/2023;13;28;22,9;
"Val d'Aran";04/2023;13;29;28,7;
"Val d'Aran";03/2023;13;30;42,7;
"Val d'Aran";02/2023;13;31;70,8;
"Val d'Aran";01/2023;13;32;52,3;
"Val d'Aran";12/2022;13;33;48,8;
"Val d'Aran";11/2022;13;34;33,2;
"Val d'Aran";10/2022;13;35;40,1;
"Val d'Aran";09/2022;13;36;45,8;
"Val d'Aran";08/2022;13;37;66,2;
"Val d'Aran";07/2022;13;38;51,7;
"Val d'Aran";06/2022;13;39;39,6;
"Val d'Aran";05/2022;13;40;22,8;
"Val d'Aran";04/2022;13;41;32,3;
"Val d'Aran";03/2022;13;42;46,2;
"Val d'Aran";02/2022;13;43;70,7;
"Val d'Aran";01/2022;13;44;61,2;
"Val d'Aran";12/2021;13;45;49,4;
"Val d'Aran";11/2021;13;46;25,4;
"Val d'Aran";10/2021;13;47;39,5;
"Val d'Aran";09/2021;13;48;41,8;
"Val d'Aran";08/2021;13;49;72,6;
"Val d'Aran";07/2021;13;50;48,5;
"Val d'Aran";06/2021;13;51;35,2;
"Val d'Aran";05/2021;13;52;24,5;
"Val d'Aran";04/2021;13;53;17,5;
"Val d'Aran";03/2021;13;54;20,5;
"Val d'Aran";02/2021;13;55;15,3;
"Val d'Aran";01/2021;13;56;27,4;
"Val d'Aran";12/2020;13;57;26,1;
"Val d'Aran";11/2020;13;58;15,6;
"Val d'Aran";10/2020;13;59;25,9;
"Val d'Aran";09/2020;13;60;37,7;
"Val d'Aran";08/2020;13;61;62,8;
"Val d'Aran";07/2020;13;62;40,5;
"Val d'Aran";06/2020;13;63;;..
"Val d'Aran";05/2020;13;64;;..
"Val d'Aran";04/2020;13;65;;..
"Val d'Aran";03/2020;13;66;34,1;
"Val d'Aran";02/2020;13;67;63;
"Val d'Aran";01/2020;13;68;53,5;
"Val d'Aran";12/2019;13;69;47,3;
"Val d'Aran";11/2019;13;70;27,4;
"Val d'Aran";10/2019;13;71;34,7;
"Val d'Aran";09/2019;13;72;41,2;
"Val d'Aran";08/2019;13;73;67,8;
"Val d'Aran";07/2019;13;74;45,3;
"Val d'Aran";06/2019;13;75;44,1;
"Val d'Aran";05/2019;13;76;26,3;
"Val d'Aran";04/2019;13;77;27,1;
"Val d'Aran";03/2019;13;78;52,3;
"Val d'Aran";02/2019;13;79;67,5;
"Val d'Aran";01/2019;13;80;44,1;
"Val d'Aran";12/2018;13;81;40,5;
"Val d'Aran";11/2018;13;82;26,4;
"Val d'Aran";10/2018;13;83;32,4;
"Val d'Aran";09/2018;13;84;38,6;
"Val d'Aran";08/2018;13;85;66,1;
"Val d'Aran";07/2018;13;86;45,9;
"Val d'Aran";06/2018;13;87;31,5;
"Val d'Aran";05/2018;13;88;18,6;
"Val d'Aran";04/2018;13;89;25,9;
"Val d'Aran";03/2018;13;90;51,6;
"Val d'Aran";02/2018;13;91;61,7;
"Val d'Aran";01/2018;13;92;52;
"Val d'Aran";12/2017;13;93;44,9;
"Val d'Aran";11/2017;13;94;20,1;
"Val d'Aran";10/2017;13;95;33,6;
"Val d'Aran";09/2017;13;96;37,2;
"Val d'Aran";08/2017;13;97;65,6;
"Val d'Aran";07/2017;13;98;43,1;
"Val d'Aran";06/2017;13;99;31,7;
"Val d'Aran";05/2017;13;100;14,2;
"Val d'Aran";04/2017;13;101;35,7;
"Val d'Aran";03/2017;13;102;38,1;
"Val d'Aran";02/2017;13;103;61,7;
"Val d'Aran";01/2017;13;104;40,7;
"Val d'Aran";12/2016;13;105;32;
"Val d'Aran";11/2016;13;106;19,2;
"Val d'Aran";10/2016;13;107;29,7;
"Val d'Aran";09/2016;13;108;33,5;
"Val d'Aran";08/2016;13;109;66,6;
"Val d'Aran";07/2016;13;110;39,7;
"Val d'Aran";06/2016;13;111;28,8;
"Val d'Aran";05/2016;13;112;22,1;
"Val d'Aran";04/2016;13;113;16,2;
"Val d'Aran";03/2016;13;114;56,8;
"Val d'Aran";02/2016;13;115;57,5;
"Val d'Aran";01/2016;13;116;50,2;
"Val d'Aran";12/2015;13;117;44,6;
"Val d'Aran";11/2015;13;118;27,6;
"Val d'Aran";10/2015;13;119;34,4;
"Val d'Aran";09/2015;13;120;31,3;
"Val d'Aran";08/2015;13;121;63,2;
"Val d'Aran";07/2015;13;122;37,9;
"Val d'Aran";06/2015;13;123;27,5;
"Val d'Aran";05/2015;13;124;19,1;
"Val d'Aran";04/2015;13;125;24,9;
"Val d'Aran";03/2015;13;126;48;
"Val d'Aran";02/2015;13;127;59,8;
"Val d'Aran";01/2015;13;128;51,5;
"Val d'Aran";12/2014;13;129;34,1;
"Val d'Aran";11/2014;13;130;22,6;
"Val d'Aran";10/2014;13;131;26;
"Val d'Aran";09/2014;13;132;31;
"Val d'Aran";08/2014;13;133;57,9;
"Val d'Aran";07/2014;13;134;33,7;
"Val d'Aran";06/2014;13;135;30,4;
"Val d'Aran";05/2014;13;136;17,1;
"Val d'Aran";04/2014;13;137;28,5;
"Val d'Aran";03/2014;13;138;41,8;
"Val d'Aran";02/2014;13;139;51,5;
"Val d'Aran";01/2014;13;140;39,3;
"Val d'Aran";12/2013;13;141;38,3;
"Val d'Aran";11/2013;13;142;23,7;
"Val d'Aran";10/2013;13;143;26,8;
"Val d'Aran";09/2013;13;144;36,4;
"Val d'Aran";08/2013;13;145;57;
"Val d'Aran";07/2013;13;146;30,3;
"Val d'Aran";06/2013;13;147;24,2;
"Val d'Aran";05/2013;13;148;19,1;
"Val d'Aran";04/2013;13;149;14,9;
"Val d'Aran";03/2013;13;150;39,8;
"Val d'Aran";02/2013;13;151;42,4;
"Val d'Aran";01/2013;13;152;42;
"Val d'Aran";12/2012;13;153;33,3;
"Val d'Aran";11/2012;13;154;18,7;
"Val d'Aran";10/2012;13;155;29,3;
"Val d'Aran";09/2012;13;156;27,7;
"Val d'Aran";08/2012;13;157;51,4;
"Val d'Aran";07/2012;13;158;34,6;
"Val d'Aran";06/2012;13;159;23,9;
"Val d'Aran";05/2012;13;160;15,9;
"Val d'Aran";04/2012;13;161;27,2;
"Val d'Aran";03/2012;13;162;42,3;
"Val d'Aran";02/2012;13;163;61,1;
"Val d'Aran";01/2012;13;164;52;
"Val d'Aran";12/2011;13;165;27,7;
"Val d'Aran";11/2011;13;166;17,8;
"Val d'Aran";10/2011;13;167;27,5;
"Val d'Aran";09/2011;13;168;28,8;
"Val d'Aran";08/2011;13;169;55,1;
"Val d'Aran";07/2011;13;170;34,2;
"Val d'Aran";06/2011;13;171;26,6;
"Val d'Aran";05/2011;13;172;12,8;
"Val d'Aran";04/2011;13;173;16,7;
"Val d'Aran";03/2011;13;174;39,2;
"Val d'Aran";02/2011;13;175;51,3;
"Val d'Aran";01/2011;13;176;44,1;
"Val d'Aran";12/2010;13;177;39;
"Val d'Aran";11/2010;13;178;15,9;
"Val d'Aran";10/2010;13;179;26,1;
"Val d'Aran";09/2010;13;180;27,2;
"Val d'Aran";08/2010;13;181;56,7;
"Val d'Aran";07/2010;13;182;33,7;
"Val d'Aran";06/2010;13;183;24,8;
"Val d'Aran";05/2010;13;184;17,2;
"Val d'Aran";04/2010;13;185;17,1;
"Val d'Aran";03/2010;13;186;46,4;
"Val d'Aran";02/2010;13;187;53,8;
"Val d'Aran";01/2010;13;188;47,8;
"Val d'Aran";12/2009;13;189;35,6;
"Val d'Aran";11/2009;13;190;21,9;
"Val d'Aran";10/2009;13;191;29,3;
"Val d'Aran";09/2009;13;192;38;
"Val d'Aran";08/2009;13;193;63,1;
"Val d'Aran";07/2009;13;194;38,9;
"Val d'Aran";06/2009;13;195;32,7;
"Val d'Aran";05/2009;13;196;26,2;
"Val d'Aran";04/2009;13;197;26,8;
"Val d'Aran";03/2009;13;198;39,4;
"Val d'Aran";02/2009;13;199;58,3;
"Val d'Aran";01/2009;13;200;52,2;
"Val d'Aran";12/2008;13;201;45,5;
"Val d'Aran";11/2008;13;202;34,3;
"Val d'Aran";10/2008;13;203;32,9;
"Val d'Aran";09/2008;13;204;34,8;
"Val d'Aran";08/2008;13;205;54,1;
"Val d'Aran";07/2008;13;206;33,5;
"Val d'Aran";06/2008;13;207;29,7;
"Val d'Aran";05/2008;13;208;26,5;
"Val d'Aran";04/2008;13;209;17,3;
"Val d'Aran";03/2008;13;210;59,4;
"Val d'Aran";02/2008;13;211;58,4;
"Val d'Aran";01/2008;13;212;57,3;
"Val d'Aran";12/2007;13;213;41,6;
"Val d'Aran";11/2007;13;214;36,4;
"Val d'Aran";10/2007;13;215;33,6;
"Val d'Aran";09/2007;13;216;37,3;
"Val d'Aran";08/2007;13;217;61,1;
"Val d'Aran";07/2007;13;218;36,7;
"Val d'Aran";06/2007;13;219;28,6;
"Val d'Aran";05/2007;13;220;25,7;
"Val d'Aran";04/2007;13;221;38,7;
"Val d'Aran";03/2007;13;222;42,9;
"Val d'Aran";02/2007;13;223;55,1;
"Val d'Aran";01/2007;13;224;34,9;
"Val d'Aran";12/2006;13;225;29,4;
"Val d'Aran";11/2006;13;226;34;
"Val d'Aran";10/2006;13;227;36,1;
"Val d'Aran";09/2006;13;228;41,3;
"Val d'Aran";08/2006;13;229;65,7;
"Val d'Aran";07/2006;13;230;41,6;
"Val d'Aran";06/2006;13;231;31,3;
"Val d'Aran";05/2006;13;232;22,8;
"Val d'Aran";04/2006;13;233;32,1;
"Val d'Aran";03/2006;13;234;54,9;
"Val d'Aran";02/2006;13;235;68,1;
"Val d'Aran";01/2006;13;236;67,8;
