Població a 1 de gener. Per sexe
Municipis. 2025
"Font: Idescat, a partir del Padró continu de l'INE."
"Nota: A partir de 2023 el Padró municipal d'habitants només ofereix la xifra de població dels municipis, les comarques i Aran i les províncies.
La xifra total de Catalunya s'ofereix a títol informatiu."
Institut d'Estadística de Catalunya
https://www.idescat.cat/pub/?id=pmh&n=446&geo=mun&lang=ca
Codi,Nom,Homes,Dones,Total
082264,Sant Martí de Tous,628,641,1269
082270,Sant Martí Sarroca,1748,1737,3485
082286,Sant Martí Sesgueioles,187,166,353
171735,Sant Martí Vell,146,125,271
082299,Sant Mateu de Bages,335,306,641
171740,Sant Miquel de Campmajor,136,122,258
171753,Sant Miquel de Fluvià,448,412,860
171766,Sant Mori,82,81,163
171772,Sant Pau de Segúries,363,356,719
082310,Sant Pere de Ribes,16145,16560,32705
082325,Sant Pere de Riudebitlles,1278,1238,2516
082331,Sant Pere de Torelló,1331,1265,2596
082346,Sant Pere de Vilamajor,2577,2497,5074
171788,Sant Pere Pescador,1225,1065,2290
081897,Sant Pere Sallavinera,88,89,177
082359,Sant Pol de Mar,2834,2959,5793
082362,Sant Quintí de Mediona,1325,1255,2580
082378,Sant Quirze de Besora,1063,1101,2164
082384,Sant Quirze del Vallès,9845,10364,20209
082397,Sant Quirze Safaja,364,299,663
251945,Sant Ramon,256,227,483
082401,Sant Sadurní d'Anoia,6338,6573,12911
082418,Sant Sadurní d'Osormort,52,37,89
080983,Sant Salvador de Guardiola,1865,1747,3612
082628,Sant Vicenç de Castellet,5121,5043,10164
082649,Sant Vicenç de Montalt,3384,3418,6802
082652,Sant Vicenç de Torelló,1057,1060,2117
082634,Sant Vicenç dels Horts,14281,14465,28746
431384,Santa Bàrbara,1967,1904,3871
082439,Santa Cecília de Voltregà,103,94,197
082444,Santa Coloma de Cervelló,4004,4269,8273
171805,Santa Coloma de Farners,7088,6905,13993
082457,Santa Coloma de Gramenet,61482,62499,123981
431397,Santa Coloma de Queralt,1409,1386,2795
171812,Santa Cristina d'Aro,3003,2984,5987
082460,Santa Eugènia de Berga,1209,1139,2348
082476,Santa Eulàlia de Riuprimer,773,743,1516
082482,Santa Eulàlia de Ronçana,3977,3976,7953
082495,Santa Fe del Penedès,175,190,365
171827,Santa Llogaia d'Àlguema,197,199,396
082508,Santa Margarida de Montbui,5381,5250,10631
082515,Santa Margarida i els Monjos,3969,3837,7806
082589,Santa Maria d'Oló,551,548,1099
082536,Santa Maria de Besora,90,74,164
082567,Santa Maria de Martorelles,436,432,868
082554,Santa Maria de Merlès,91,88,179
082573,Santa Maria de Miralles,76,68,144
082592,Santa Maria de Palautordera,5019,5061,10080
431401,Santa Oliva,1896,1815,3711
171848,Santa Pau,801,778,1579
082606,Santa Perpètua de Mogoda,13031,13099,26130
082613,Santa Susanna,2051,2048,4099
081923,Santpedor,3868,3876,7744
431423,Sarral,860,784,1644
171864,Sarrià de Ter,2678,2728,5406
252017,Sarroca de Bellera,62,49,111
252000,Sarroca de Lleida,207,176,383
171870,"Saus, Camallera i Llampaies",436,461,897
431439,Savallà del Comtat,27,22,49
431444,"Secuita, la",938,907,1845
171886,"Selva de Mar, la",113,110,223
431457,"Selva del Camp, la",2871,2861,5732
431460,Senan,30,17,47
430445,"Sénia, la",2781,2735,5516
252022,Senterada,93,67,160
250352,"Sentiu de Sió, la",243,205,448
082671,Sentmenat,4789,4759,9548
171903,Serinyà,630,598,1228
252043,Seròs,1069,885,1954
171910,Serra de Daró,124,116,240
171925,Setcases,107,88,195
252038,"Seu d'Urgell, la",6369,6640,13009
082690,Seva,1949,1859,3808
252056,Sidamon,406,354,760
171931,Sils,3535,3385,6920
082704,Sitges,16393,16216,32609
170524,Siurana,87,101,188
082711,Sobremunt,36,54,90
252069,"Soleràs, el",164,144,308
431476,Solivella,333,300,633
252075,Solsona,4858,4859,9717
082726,Sora,123,102,225
252081,Soriguera,228,218,446
252094,Sort,1130,1106,2236
252108,Soses,993,899,1892
082732,Subirats,1685,1603,3288
252115,Sudanell,515,400,915
252120,Sunyer,171,139,310
082747,Súria,3018,3182,6200
171946,Susqueda,61,42,103
082763,Tagamanent,171,157,328
082779,Talamanca,112,97,209
252154,Talarn,334,221,555
252167,Talavera,149,131,280
171959,"Tallada d'Empordà, la",257,233,490
082785,Taradell,3437,3417,6854
431482,Tarragona,70117,73532,143649
252173,Tàrrega,9569,9488,19057
252189,Tarrés,63,63,126
252192,Tarroja de Segarra,87,77,164
082750,Tavèrnoles,187,167,354
082802,Tavertet,73,55,128
082819,Teià,3390,3508,6898
252206,Térmens,696,654,1350
171962,Terrades,170,167,337
082798,Terrassa,114631,118639,233270
082824,Tiana,4525,4806,9331
252213,Tírvia,70,71,141
252228,Tiurana,34,35,69
431495,Tivenys,499,449,948
431508,Tivissa,836,822,1658
082830,Tona,4217,4310,8527
252234,Torà,602,588,1190
082845,Tordera,9619,9420,19039
082858,Torelló,7753,7581,15334
252249,"Torms, els",69,66,135
252252,Tornabous,450,382,832
252271,"Torre de Cabdella, la",384,374,758
082861,"Torre de Claramunt, la",2159,1999,4158
431515,"Torre de Fontaubella, la",68,56,124
431520,"Torre de l'Espanyol, la",336,305,641
252265,Torrebesses,145,133,278
431536,Torredembarra,8915,9322,18237
252287,Torrefarrera,2491,2409,4900
259078,Torrefeta i Florejacs,314,275,589
252304,Torregrossa,1191,1057,2248
252311,Torrelameu,474,314,788
082877,Torrelavit,830,742,1572
082883,Torrelles de Foix,1433,1313,2746
082896,Torrelles de Llobregat,3076,3094,6170
171978,Torrent,96,86,182
252326,Torres de Segre,1207,1110,2317
252332,Torre-serona,208,197,405
171984,Torroella de Fluvià,387,391,778
171997,Torroella de Montgrí,6467,6103,12570
431541,Torroja del Priorat,68,61,129
172001,Tortellà,397,452,849
431554,Tortosa,18258,17739,35997
172018,Toses,111,87,198
172023,Tossa de Mar,3199,3148,6347
252347,Tremp,3046,3077,6123
172044,Ullà,684,574,1258
082900,Ullastrell,1083,1088,2171
172057,Ullastret,129,120,249
431567,Ulldecona,3584,3130,6714
431573,Ulldemolins,222,167,389
172039,Ultramort,114,104,218
172060,Urús,102,99,201
082917,Vacarisses,3961,3768,7729
170144,"Vajol, la",66,46,112
172076,"Vall d'en Bas, la",1654,1615,3269
172082,"Vall de Bianya, la",661,686,1347
250432,"Vall de Boí, la",604,518,1122
259010,Vall de Cardós,216,172,388
082922,Vallbona d'Anoia,737,687,1424
252385,Vallbona de les Monges,124,99,223
082938,Vallcebre,135,125,260
431589,Vallclara,56,35,91
252402,Vallfogona de Balaguer,1019,990,2009
171707,Vallfogona de Ripollès,118,107,225
431592,Vallfogona de Riucorb,54,41,95
082943,Vallgorguina,1653,1608,3261
082956,Vallirana,8107,8138,16245
172095,Vall-llobrega,454,437,891
431606,Vallmoll,1008,989,1997
082969,Vallromanes,1410,1368,2778
431613,Valls,12909,12609,25518
259062,"Valls d'Aguilar, les",141,112,253
252398,"Valls de Valira, les",452,393,845
431628,Vandellòs i l'Hospitalet de l'Infant,3566,3577,7143
259097,"Vansa i Fórnols, la",99,88,187
082975,Veciana,93,75,168
431634,"Vendrell, el",20340,20793,41133
172109,Ventalló,461,453,914
252424,Verdú,419,457,876
172116,Verges,585,582,1167
431649,Vespella de Gaià,269,233,502
082981,Vic,25820,24976,50796
172121,Vidrà,81,86,167
172137,Vidreres,4584,4278,8862
252430,Vielha e Mijaran,2959,2906,5865
431652,Vilabella,376,348,724
172142,Vilabertran,485,476,961
172155,Vilablareix,2036,2041,4077
082994,Vilada,238,194,432
172174,Viladamat,266,234,500
172168,Viladasens,111,95,206
083015,Viladecans,33363,34224,67587
083008,Viladecavalls,3871,3946,7817
172180,Vilademuls,466,432,898
172207,Viladrau,593,591,1184
172214,Vilafant,2816,2847,5663
083054,Vilafranca del Penedès,20836,21771,42607
252445,Vilagrassa,323,304,627
172235,Vilajuïga,585,592,1177
431750,Vilalba dels Arcs,305,306,611
083067,Vilalba Sasserra,404,390,794
252458,Vilaller,274,222,496
172240,Vilallonga de Ter,216,179,395
431665,Vilallonga del Camp,1257,1238,2495
172253,Vilamacolum,238,168,406
172266,Vilamalla,611,594,1205
172272,Vilamaniscle,106,79,185
252477,Vilamòs,101,73,174
172288,Vilanant,194,212,406
431671,Vilanova d'Escornalbou,319,295,614
252483,Vilanova de Bellpuig,584,566,1150
252496,Vilanova de l'Aguda,101,91,192
252542,Vilanova de la Barca,648,515,1163
252509,Vilanova de Meià,319,160,479
431687,Vilanova de Prades,59,52,111
083036,Vilanova de Sau,161,164,325
252516,Vilanova de Segrià,590,504,1094
083020,Vilanova del Camí,6477,6459,12936
089024,Vilanova del Vallès,2894,2799,5693
083073,Vilanova i la Geltrú,34650,36991,71641
431690,Vilaplana,292,257,549
431704,Vila-rodona,728,654,1382
172305,Vila-sacra,426,452,878
252521,Vila-sana,382,371,753
431711,Vila-seca,11983,11934,23917
082140,Vilassar de Dalt,4656,4748,9404
082191,Vilassar de Mar,10112,11115,21227
172229,Vilaür,87,77,164
431726,Vilaverd,265,228,493
431732,"Vilella Alta, la",69,58,127
431747,"Vilella Baixa, la",113,88,201
172333,Vilobí d'Onyar,1709,1588,3297
083041,Vilobí del Penedès,601,553,1154
172327,Vilopriu,111,98,209
252537,"Vilosell, el",90,87,177
431763,Vimbodí i Poblet,480,407,887
252555,Vinaixa,232,205,437
431779,Vinebre,226,201,427
431785,Vinyols i els Arcs,1251,1199,2450
083089,Viver i Serrateix,92,86,178
430521,Xerta,581,599,1180
,Catalunya,4017988,4128277,8146265

