Població a 1 de gener. Per sexe
Municipis. 2025
"Font: Idescat, a partir del Padró continu de l'INE."
"Nota: A partir de 2023 el Padró municipal d'habitants només ofereix la xifra de població dels municipis, les comarques i Aran i les províncies.
La xifra total de Catalunya s'ofereix a títol informatiu."
Institut d'Estadística de Catalunya
https://www.idescat.cat/pub/?id=pmh&n=446&geo=mun&lang=ca
Codi,Nom,Homes,Dones,Total
430385,Cambrils,18041,19001,37042
170353,Camós,343,358,701
170366,Campdevànol,1591,1650,3241
170372,Campelles,84,79,163
080399,Campins,295,291,586
170388,Campllong,264,270,534
170391,Camprodon,1243,1327,2570
250637,Canejan,44,51,95
170405,Canet d'Adri,372,372,744
080403,Canet de Mar,7435,7763,15198
439076,"Canonja, la",2946,3055,6001
080410,Canovelles,9030,8443,17473
080425,Cànoves i Samalús,1747,1652,3399
170412,Cantallops,179,187,366
080431,Canyelles,2864,2641,5505
430398,Capafonts,56,45,101
430402,Capçanes,222,222,444
080446,Capellades,2804,2804,5608
170427,Capmany,344,336,680
080459,Capolat,44,49,93
080462,Cardedeu,9150,9896,19046
080478,Cardona,2250,2303,4553
080484,Carme,444,403,847
430419,Caseres,126,124,250
170448,Cassà de la Selva,5690,5441,11131
080497,Casserres,824,836,1660
170486,"Castell d'Aro, Platja d'Aro i s'Agaró",6294,6688,12982
080575,Castell de l'Areny,38,30,68
259046,Castell de Mur,86,73,159
250642,Castellar de la Ribera,67,64,131
080522,Castellar de n'Hug,85,81,166
080500,Castellar del Riu,86,65,151
080517,Castellar del Vallès,12524,12898,25422
080538,Castellbell i el Vilar,2153,2006,4159
080543,Castellbisbal,6548,6513,13061
080556,Castellcir,408,396,804
250674,Castelldans,516,436,952
080569,Castelldefels,34242,35815,70057
080581,Castellet i la Gornal,1481,1295,2776
170464,Castellfollit de la Roca,491,475,966
080608,Castellfollit de Riubregós,84,69,153
080594,Castellfollit del Boix,242,225,467
080615,Castellgalí,1245,1168,2413
080620,Castellnou de Bages,769,704,1473
250680,Castellnou de Seana,383,343,726
170470,Castelló d'Empúries,6331,5870,12201
250693,Castelló de Farfanya,290,258,548
080636,Castellolí,315,354,669
250707,Castellserà,516,477,993
080641,Castellterçol,1416,1338,2754
430424,Castellvell del Camp,1508,1494,3002
080654,Castellví de la Marca,884,837,1721
080667,Castellví de Rosanes,1080,1091,2171
430430,"Catllar, el",2816,2559,5375
250714,Cava,25,13,38
171899,"Cellera de Ter, la",1020,1007,2027
170499,Celrà,2806,2815,5621
080673,Centelles,3857,4007,7864
082687,Cercs,632,604,1236
082665,Cerdanyola del Vallès,28414,30114,58528
080689,Cervelló,4911,4832,9743
250729,Cervera,4916,4687,9603
250735,Cervià de les Garrigues,355,286,641
170502,Cervià de Ter,526,503,1029
170519,Cistella,143,140,283
250740,Ciutadilla,99,87,186
250753,Clariana de Cardener,84,76,160
250766,"Cogul, el",90,73,163
170545,Colera,245,249,494
250772,Coll de Nargó,312,273,585
080692,Collbató,2468,2360,4828
430458,Colldejou,86,69,155
080706,Collsuspina,195,196,391
170558,Colomers,104,104,208
251636,"Coma i la Pedra, la",162,115,277
251615,Conca de Dalt,234,204,438
430461,Conesa,58,53,111
430477,Constantí,3639,3469,7108
080713,Copons,181,171,352
430483,Corbera d'Ebre,541,482,1023
080728,Corbera de Llobregat,8032,7978,16010
250788,Corbins,822,680,1502
170577,Corçà,661,622,1283
080734,Cornellà de Llobregat,44689,47548,92237
170561,Cornellà del Terri,1231,1183,2414
430496,Cornudella de Montsant,537,462,999
