row;col;r;c;value;status;ref
"Total pernoctacions";Valor;1;1;5228,4;;"Octubre del 2024 (p)"
"Total pernoctacions";"Variació interanual / Absoluta";1;2;19,2;;"Octubre del 2024 (p)"
"Total pernoctacions";"Variació interanual / % mes";1;3;0,4;;"Octubre del 2024 (p)"
"Total pernoctacions";"Variació interanual / % acumulat";1;4;3,6;;"Octubre del 2024 (p)"
Barcelona;Valor;2;1;2060,9;;"Octubre del 2024 (p)"
Barcelona;"Variació interanual / Absoluta";2;2;-36,7;;"Octubre del 2024 (p)"
Barcelona;"Variació interanual / % mes";2;3;-1,8;;"Octubre del 2024 (p)"
Barcelona;"Variació interanual / % acumulat";2;4;1,3;;"Octubre del 2024 (p)"
"Costa Brava";Valor;3;1;1045,7;;"Octubre del 2024 (p)"
"Costa Brava";"Variació interanual / Absoluta";3;2;19,4;;"Octubre del 2024 (p)"
"Costa Brava";"Variació interanual / % mes";3;3;1,9;;"Octubre del 2024 (p)"
"Costa Brava";"Variació interanual / % acumulat";3;4;4,8;;"Octubre del 2024 (p)"
"Costa Daurada";Valor;4;1;824,1;;"Octubre del 2024 (p)"
"Costa Daurada";"Variació interanual / Absoluta";4;2;26,2;;"Octubre del 2024 (p)"
"Costa Daurada";"Variació interanual / % mes";4;3;3,3;;"Octubre del 2024 (p)"
"Costa Daurada";"Variació interanual / % acumulat";4;4;4,6;;"Octubre del 2024 (p)"
"Costa Barcelona";Valor;5;1;1043,1;;"Octubre del 2024 (p)"
"Costa Barcelona";"Variació interanual / Absoluta";5;2;18,8;;"Octubre del 2024 (p)"
"Costa Barcelona";"Variació interanual / % mes";5;3;1,8;;"Octubre del 2024 (p)"
"Costa Barcelona";"Variació interanual / % acumulat";5;4;7,4;;"Octubre del 2024 (p)"
"Paisatges Barcelona";Valor;6;1;45,9;;"Octubre del 2024 (p)"
"Paisatges Barcelona";"Variació interanual / Absoluta";6;2;4,8;;"Octubre del 2024 (p)"
"Paisatges Barcelona";"Variació interanual / % mes";6;3;11,8;;"Octubre del 2024 (p)"
"Paisatges Barcelona";"Variació interanual / % acumulat";6;4;11,3;;"Octubre del 2024 (p)"
Pirineus;Valor;7;1;95,7;;"Octubre del 2024 (p)"
Pirineus;"Variació interanual / Absoluta";7;2;;..;"Octubre del 2024 (p)"
Pirineus;"Variació interanual / % mes";7;3;;..;"Octubre del 2024 (p)"
Pirineus;"Variació interanual / % acumulat";7;4;;..;"Octubre del 2024 (p)"
"Terres de Lleida";Valor;8;1;49,8;;"Octubre del 2024 (p)"
"Terres de Lleida";"Variació interanual / Absoluta";8;2;;..;"Octubre del 2024 (p)"
"Terres de Lleida";"Variació interanual / % mes";8;3;;..;"Octubre del 2024 (p)"
"Terres de Lleida";"Variació interanual / % acumulat";8;4;;..;"Octubre del 2024 (p)"
"Terres de l'Ebre";Valor;9;1;44,9;;"Octubre del 2024 (p)"
"Terres de l'Ebre";"Variació interanual / Absoluta";9;2;0,5;;"Octubre del 2024 (p)"
"Terres de l'Ebre";"Variació interanual / % mes";9;3;1;;"Octubre del 2024 (p)"
"Terres de l'Ebre";"Variació interanual / % acumulat";9;4;0,2;;"Octubre del 2024 (p)"
"Val d'Aran";Valor;10;1;18,3;;"Octubre del 2024 (p)"
"Val d'Aran";"Variació interanual / Absoluta";10;2;-5,1;;"Octubre del 2024 (p)"
"Val d'Aran";"Variació interanual / % mes";10;3;-21,9;;"Octubre del 2024 (p)"
"Val d'Aran";"Variació interanual / % acumulat";10;4;9,5;;"Octubre del 2024 (p)"
