row;col;r;c;value;status;ref
"Total pernoctacions";Valor;1;1;8900,1;;"Agost del 2024"
"Total pernoctacions";"Variació interanual / Absoluta";1;2;67;;"Agost del 2024"
"Total pernoctacions";"Variació interanual / % mes";1;3;0,8;;"Agost del 2024"
"Total pernoctacions";"Variació interanual / % acumulat";1;4;4;;"Agost del 2024"
Barcelona;Valor;2;1;2319,6;;"Agost del 2024"
Barcelona;"Variació interanual / Absoluta";2;2;-12,6;;"Agost del 2024"
Barcelona;"Variació interanual / % mes";2;3;-0,5;;"Agost del 2024"
Barcelona;"Variació interanual / % acumulat";2;4;1,9;;"Agost del 2024"
"Costa Brava";Valor;3;1;2300,5;;"Agost del 2024"
"Costa Brava";"Variació interanual / Absoluta";3;2;78,9;;"Agost del 2024"
"Costa Brava";"Variació interanual / % mes";3;3;3,6;;"Agost del 2024"
"Costa Brava";"Variació interanual / % acumulat";3;4;4,9;;"Agost del 2024"
"Costa Daurada";Valor;4;1;2004,8;;"Agost del 2024"
"Costa Daurada";"Variació interanual / Absoluta";4;2;-25,7;;"Agost del 2024"
"Costa Daurada";"Variació interanual / % mes";4;3;-1,3;;"Agost del 2024"
"Costa Daurada";"Variació interanual / % acumulat";4;4;5,1;;"Agost del 2024"
"Costa Barcelona";Valor;5;1;1694,6;;"Agost del 2024"
"Costa Barcelona";"Variació interanual / Absoluta";5;2;49,7;;"Agost del 2024"
"Costa Barcelona";"Variació interanual / % mes";5;3;3;;"Agost del 2024"
"Costa Barcelona";"Variació interanual / % acumulat";5;4;7,6;;"Agost del 2024"
"Paisatges Barcelona";Valor;6;1;40,9;;"Agost del 2024"
"Paisatges Barcelona";"Variació interanual / Absoluta";6;2;3,1;;"Agost del 2024"
"Paisatges Barcelona";"Variació interanual / % mes";6;3;8,1;;"Agost del 2024"
"Paisatges Barcelona";"Variació interanual / % acumulat";6;4;7,2;;"Agost del 2024"
Pirineus;Valor;7;1;258,1;;"Agost del 2024"
Pirineus;"Variació interanual / Absoluta";7;2;;..;"Agost del 2024"
Pirineus;"Variació interanual / % mes";7;3;;..;"Agost del 2024"
Pirineus;"Variació interanual / % acumulat";7;4;;..;"Agost del 2024"
"Terres de Lleida";Valor;8;1;51,1;;"Agost del 2024"
"Terres de Lleida";"Variació interanual / Absoluta";8;2;;..;"Agost del 2024"
"Terres de Lleida";"Variació interanual / % mes";8;3;;..;"Agost del 2024"
"Terres de Lleida";"Variació interanual / % acumulat";8;4;;..;"Agost del 2024"
"Terres de l'Ebre";Valor;9;1;133,3;;"Agost del 2024"
"Terres de l'Ebre";"Variació interanual / Absoluta";9;2;-9,9;;"Agost del 2024"
"Terres de l'Ebre";"Variació interanual / % mes";9;3;-6,9;;"Agost del 2024"
"Terres de l'Ebre";"Variació interanual / % acumulat";9;4;-2,2;;"Agost del 2024"
"Val d'Aran";Valor;10;1;97,1;;"Agost del 2024"
"Val d'Aran";"Variació interanual / Absoluta";10;2;-4;;"Agost del 2024"
"Val d'Aran";"Variació interanual / % mes";10;3;-4;;"Agost del 2024"
"Val d'Aran";"Variació interanual / % acumulat";10;4;12,2;;"Agost del 2024"
