row;col;r;c;value;status;ref
"Total pernoctacions";Valor;1;1;2516,2;;"Desembre del 2023"
"Total pernoctacions";"Variació interanual / Absoluta";1;2;98,1;;"Desembre del 2023"
"Total pernoctacions";"Variació interanual / % mes";1;3;4,1;;"Desembre del 2023"
"Total pernoctacions";"Variació interanual / % acumulat";1;4;10,5;;"Desembre del 2023"
Barcelona;Valor;2;1;1503,7;;"Desembre del 2023"
Barcelona;"Variació interanual / Absoluta";2;2;87,9;;"Desembre del 2023"
Barcelona;"Variació interanual / % mes";2;3;6,2;;"Desembre del 2023"
Barcelona;"Variació interanual / % acumulat";2;4;10,9;;"Desembre del 2023"
"Costa Brava";Valor;3;1;246,4;;"Desembre del 2023"
"Costa Brava";"Variació interanual / Absoluta";3;2;25;;"Desembre del 2023"
"Costa Brava";"Variació interanual / % mes";3;3;11,3;;"Desembre del 2023"
"Costa Brava";"Variació interanual / % acumulat";3;4;11;;"Desembre del 2023"
"Costa Daurada";Valor;4;1;147,2;;"Desembre del 2023"
"Costa Daurada";"Variació interanual / Absoluta";4;2;-3,3;;"Desembre del 2023"
"Costa Daurada";"Variació interanual / % mes";4;3;-2,2;;"Desembre del 2023"
"Costa Daurada";"Variació interanual / % acumulat";4;4;10,1;;"Desembre del 2023"
"Costa Barcelona";Valor;5;1;319,2;;"Desembre del 2023"
"Costa Barcelona";"Variació interanual / Absoluta";5;2;6,2;;"Desembre del 2023"
"Costa Barcelona";"Variació interanual / % mes";5;3;2;;"Desembre del 2023"
"Costa Barcelona";"Variació interanual / % acumulat";5;4;13,2;;"Desembre del 2023"
"Paisatges Barcelona";Valor;6;1;28;;"Desembre del 2023"
"Paisatges Barcelona";"Variació interanual / Absoluta";6;2;1,1;;"Desembre del 2023"
"Paisatges Barcelona";"Variació interanual / % mes";6;3;4,2;;"Desembre del 2023"
"Paisatges Barcelona";"Variació interanual / % acumulat";6;4;5,8;;"Desembre del 2023"
Pirineus;Valor;7;1;128,6;;"Desembre del 2023"
Pirineus;"Variació interanual / Absoluta";7;2;-12,2;;"Desembre del 2023"
Pirineus;"Variació interanual / % mes";7;3;-8,6;;"Desembre del 2023"
Pirineus;"Variació interanual / % acumulat";7;4;6;;"Desembre del 2023"
"Terres de Lleida";Valor;8;1;33,5;;"Desembre del 2023"
"Terres de Lleida";"Variació interanual / Absoluta";8;2;-0,3;;"Desembre del 2023"
"Terres de Lleida";"Variació interanual / % mes";8;3;-0,9;;"Desembre del 2023"
"Terres de Lleida";"Variació interanual / % acumulat";8;4;-1,2;;"Desembre del 2023"
"Terres de l'Ebre";Valor;9;1;19,4;;"Desembre del 2023"
"Terres de l'Ebre";"Variació interanual / Absoluta";9;2;-1;;"Desembre del 2023"
"Terres de l'Ebre";"Variació interanual / % mes";9;3;-4,7;;"Desembre del 2023"
"Terres de l'Ebre";"Variació interanual / % acumulat";9;4;0,4;;"Desembre del 2023"
"Val d'Aran";Valor;10;1;90,2;;"Desembre del 2023"
"Val d'Aran";"Variació interanual / Absoluta";10;2;-5,4;;"Desembre del 2023"
"Val d'Aran";"Variació interanual / % mes";10;3;-5,6;;"Desembre del 2023"
"Val d'Aran";"Variació interanual / % acumulat";10;4;-4,5;;"Desembre del 2023"
