row;col;r;c;value;status;ref
"Total pernoctacions";Valor;1;1;6906,8;;"Juny del 2024"
"Total pernoctacions";"Variació interanual / Absoluta";1;2;521,4;;"Juny del 2024"
"Total pernoctacions";"Variació interanual / % mes";1;3;8,2;;"Juny del 2024"
"Total pernoctacions";"Variació interanual / % acumulat";1;4;6;;"Juny del 2024"
Barcelona;Valor;2;1;2089,5;;"Juny del 2024"
Barcelona;"Variació interanual / Absoluta";2;2;37,4;;"Juny del 2024"
Barcelona;"Variació interanual / % mes";2;3;1,8;;"Juny del 2024"
Barcelona;"Variació interanual / % acumulat";2;4;2,9;;"Juny del 2024"
"Costa Brava";Valor;3;1;1551,9;;"Juny del 2024"
"Costa Brava";"Variació interanual / Absoluta";3;2;110,9;;"Juny del 2024"
"Costa Brava";"Variació interanual / % mes";3;3;7,7;;"Juny del 2024"
"Costa Brava";"Variació interanual / % acumulat";3;4;5,2;;"Juny del 2024"
"Costa Daurada";Valor;4;1;1549,9;;"Juny del 2024"
"Costa Daurada";"Variació interanual / Absoluta";4;2;182,6;;"Juny del 2024"
"Costa Daurada";"Variació interanual / % mes";4;3;13,4;;"Juny del 2024"
"Costa Daurada";"Variació interanual / % acumulat";4;4;13,5;;"Juny del 2024"
"Costa Barcelona";Valor;5;1;1357,6;;"Juny del 2024"
"Costa Barcelona";"Variació interanual / Absoluta";5;2;159,9;;"Juny del 2024"
"Costa Barcelona";"Variació interanual / % mes";5;3;13,4;;"Juny del 2024"
"Costa Barcelona";"Variació interanual / % acumulat";5;4;10,5;;"Juny del 2024"
"Paisatges Barcelona";Valor;6;1;47,6;;"Juny del 2024"
"Paisatges Barcelona";"Variació interanual / Absoluta";6;2;6;;"Juny del 2024"
"Paisatges Barcelona";"Variació interanual / % mes";6;3;14,5;;"Juny del 2024"
"Paisatges Barcelona";"Variació interanual / % acumulat";6;4;8,3;;"Juny del 2024"
Pirineus;Valor;7;1;130,6;;"Juny del 2024"
Pirineus;"Variació interanual / Absoluta";7;2;;..;"Juny del 2024"
Pirineus;"Variació interanual / % mes";7;3;;..;"Juny del 2024"
Pirineus;"Variació interanual / % acumulat";7;4;;..;"Juny del 2024"
"Terres de Lleida";Valor;8;1;50,7;;"Juny del 2024"
"Terres de Lleida";"Variació interanual / Absoluta";8;2;;..;"Juny del 2024"
"Terres de Lleida";"Variació interanual / % mes";8;3;;..;"Juny del 2024"
"Terres de Lleida";"Variació interanual / % acumulat";8;4;;..;"Juny del 2024"
"Terres de l'Ebre";Valor;9;1;93,1;;"Juny del 2024"
"Terres de l'Ebre";"Variació interanual / Absoluta";9;2;7,2;;"Juny del 2024"
"Terres de l'Ebre";"Variació interanual / % mes";9;3;8,4;;"Juny del 2024"
"Terres de l'Ebre";"Variació interanual / % acumulat";9;4;1,2;;"Juny del 2024"
"Val d'Aran";Valor;10;1;36;;"Juny del 2024"
"Val d'Aran";"Variació interanual / Absoluta";10;2;5,4;;"Juny del 2024"
"Val d'Aran";"Variació interanual / % mes";10;3;17,6;;"Juny del 2024"
"Val d'Aran";"Variació interanual / % acumulat";10;4;18,6;;"Juny del 2024"
