row;col;r;c;value;status;ref
"Total pernoctacions";Valor;1;1;2675,8;;"Novembre del 2023"
"Total pernoctacions";"Variació interanual / Absoluta";1;2;185,8;;"Novembre del 2023"
"Total pernoctacions";"Variació interanual / % mes";1;3;7,5;;"Novembre del 2023"
"Total pernoctacions";"Variació interanual / % acumulat";1;4;10,8;;"Novembre del 2023"
Barcelona;Valor;2;1;1723,2;;"Novembre del 2023"
Barcelona;"Variació interanual / Absoluta";2;2;126,8;;"Novembre del 2023"
Barcelona;"Variació interanual / % mes";2;3;7,9;;"Novembre del 2023"
Barcelona;"Variació interanual / % acumulat";2;4;11,2;;"Novembre del 2023"
"Costa Brava";Valor;3;1;268,8;;"Novembre del 2023"
"Costa Brava";"Variació interanual / Absoluta";3;2;11,6;;"Novembre del 2023"
"Costa Brava";"Variació interanual / % mes";3;3;4,5;;"Novembre del 2023"
"Costa Brava";"Variació interanual / % acumulat";3;4;11;;"Novembre del 2023"
"Costa Daurada";Valor;4;1;132,6;;"Novembre del 2023"
"Costa Daurada";"Variació interanual / Absoluta";4;2;9,2;;"Novembre del 2023"
"Costa Daurada";"Variació interanual / % mes";4;3;7,4;;"Novembre del 2023"
"Costa Daurada";"Variació interanual / % acumulat";4;4;10,3;;"Novembre del 2023"
"Costa Barcelona";Valor;5;1;378,4;;"Novembre del 2023"
"Costa Barcelona";"Variació interanual / Absoluta";5;2;15,2;;"Novembre del 2023"
"Costa Barcelona";"Variació interanual / % mes";5;3;4,2;;"Novembre del 2023"
"Costa Barcelona";"Variació interanual / % acumulat";5;4;13,6;;"Novembre del 2023"
"Paisatges Barcelona";Valor;6;1;34,2;;"Novembre del 2023"
"Paisatges Barcelona";"Variació interanual / Absoluta";6;2;5,3;;"Novembre del 2023"
"Paisatges Barcelona";"Variació interanual / % mes";6;3;18,3;;"Novembre del 2023"
"Paisatges Barcelona";"Variació interanual / % acumulat";6;4;5,9;;"Novembre del 2023"
Pirineus;Valor;7;1;59;;"Novembre del 2023"
Pirineus;"Variació interanual / Absoluta";7;2;10;;"Novembre del 2023"
Pirineus;"Variació interanual / % mes";7;3;20,3;;"Novembre del 2023"
Pirineus;"Variació interanual / % acumulat";7;4;7,5;;"Novembre del 2023"
"Terres de Lleida";Valor;8;1;36,6;;"Novembre del 2023"
"Terres de Lleida";"Variació interanual / Absoluta";8;2;-2,5;;"Novembre del 2023"
"Terres de Lleida";"Variació interanual / % mes";8;3;-6,3;;"Novembre del 2023"
"Terres de Lleida";"Variació interanual / % acumulat";8;4;-1,3;;"Novembre del 2023"
"Terres de l'Ebre";Valor;9;1;31,6;;"Novembre del 2023"
"Terres de l'Ebre";"Variació interanual / Absoluta";9;2;10,5;;"Novembre del 2023"
"Terres de l'Ebre";"Variació interanual / % mes";9;3;50;;"Novembre del 2023"
"Terres de l'Ebre";"Variació interanual / % acumulat";9;4;0,5;;"Novembre del 2023"
"Val d'Aran";Valor;10;1;11,3;;"Novembre del 2023"
"Val d'Aran";"Variació interanual / Absoluta";10;2;-0,3;;"Novembre del 2023"
"Val d'Aran";"Variació interanual / % mes";10;3;-2,5;;"Novembre del 2023"
"Val d'Aran";"Variació interanual / % acumulat";10;4;-4,4;;"Novembre del 2023"
