row;col;r;c;value;status;ref
"Total pernoctacions";Valor;1;1;6243,4;;"Maig del 2024"
"Total pernoctacions";"Variació interanual / Absoluta";1;2;634,1;;"Maig del 2024"
"Total pernoctacions";"Variació interanual / % mes";1;3;11,3;;"Maig del 2024"
"Total pernoctacions";"Variació interanual / % acumulat";1;4;5,3;;"Maig del 2024"
Barcelona;Valor;2;1;2190,5;;"Maig del 2024"
Barcelona;"Variació interanual / Absoluta";2;2;94,5;;"Maig del 2024"
Barcelona;"Variació interanual / % mes";2;3;4,5;;"Maig del 2024"
Barcelona;"Variació interanual / % acumulat";2;4;3,2;;"Maig del 2024"
"Costa Brava";Valor;3;1;1318,7;;"Maig del 2024"
"Costa Brava";"Variació interanual / Absoluta";3;2;135,9;;"Maig del 2024"
"Costa Brava";"Variació interanual / % mes";3;3;11,5;;"Maig del 2024"
"Costa Brava";"Variació interanual / % acumulat";3;4;4;;"Maig del 2024"
"Costa Daurada";Valor;4;1;1261,9;;"Maig del 2024"
"Costa Daurada";"Variació interanual / Absoluta";4;2;224,1;;"Maig del 2024"
"Costa Daurada";"Variació interanual / % mes";4;3;21,6;;"Maig del 2024"
"Costa Daurada";"Variació interanual / % acumulat";4;4;13,7;;"Maig del 2024"
"Costa Barcelona";Valor;5;1;1195,9;;"Maig del 2024"
"Costa Barcelona";"Variació interanual / Absoluta";5;2;147,9;;"Maig del 2024"
"Costa Barcelona";"Variació interanual / % mes";5;3;14,1;;"Maig del 2024"
"Costa Barcelona";"Variació interanual / % acumulat";5;4;9,4;;"Maig del 2024"
"Paisatges Barcelona";Valor;6;1;42;;"Maig del 2024"
"Paisatges Barcelona";"Variació interanual / Absoluta";6;2;3,6;;"Maig del 2024"
"Paisatges Barcelona";"Variació interanual / % mes";6;3;9,4;;"Maig del 2024"
"Paisatges Barcelona";"Variació interanual / % acumulat";6;4;6,7;;"Maig del 2024"
Pirineus;Valor;7;1;94,4;;"Maig del 2024"
Pirineus;"Variació interanual / Absoluta";7;2;;..;"Maig del 2024"
Pirineus;"Variació interanual / % mes";7;3;;..;"Maig del 2024"
Pirineus;"Variació interanual / % acumulat";7;4;;..;"Maig del 2024"
"Terres de Lleida";Valor;8;1;49,8;;"Maig del 2024"
"Terres de Lleida";"Variació interanual / Absoluta";8;2;;..;"Maig del 2024"
"Terres de Lleida";"Variació interanual / % mes";8;3;;..;"Maig del 2024"
"Terres de Lleida";"Variació interanual / % acumulat";8;4;;..;"Maig del 2024"
"Terres de l'Ebre";Valor;9;1;75,8;;"Maig del 2024"
"Terres de l'Ebre";"Variació interanual / Absoluta";9;2;13,2;;"Maig del 2024"
"Terres de l'Ebre";"Variació interanual / % mes";9;3;21,2;;"Maig del 2024"
"Terres de l'Ebre";"Variació interanual / % acumulat";9;4;-1,8;;"Maig del 2024"
"Val d'Aran";Valor;10;1;14,5;;"Maig del 2024"
"Val d'Aran";"Variació interanual / Absoluta";10;2;4,8;;"Maig del 2024"
"Val d'Aran";"Variació interanual / % mes";10;3;49,3;;"Maig del 2024"
"Val d'Aran";"Variació interanual / % acumulat";10;4;18,7;;"Maig del 2024"
