row;col;r;c;value;status;ref
"Total pernoctacions";Valor;1;1;2695,1;;"Febrer del 2024 (p)"
"Total pernoctacions";"Variació interanual / Absoluta";1;2;131,4;;"Febrer del 2024 (p)"
"Total pernoctacions";"Variació interanual / % mes";1;3;5,1;;"Febrer del 2024 (p)"
"Total pernoctacions";"Variació interanual / % acumulat";1;4;4;;"Febrer del 2024 (p)"
Barcelona;Valor;2;1;1642,7;;"Febrer del 2024 (p)"
Barcelona;"Variació interanual / Absoluta";2;2;71,1;;"Febrer del 2024 (p)"
Barcelona;"Variació interanual / % mes";2;3;4,5;;"Febrer del 2024 (p)"
Barcelona;"Variació interanual / % acumulat";2;4;4,1;;"Febrer del 2024 (p)"
"Costa Brava";Valor;3;1;218;;"Febrer del 2024 (p)"
"Costa Brava";"Variació interanual / Absoluta";3;2;-3,9;;"Febrer del 2024 (p)"
"Costa Brava";"Variació interanual / % mes";3;3;-1,8;;"Febrer del 2024 (p)"
"Costa Brava";"Variació interanual / % acumulat";3;4;-5,5;;"Febrer del 2024 (p)"
"Costa Daurada";Valor;4;1;71,8;;"Febrer del 2024 (p)"
"Costa Daurada";"Variació interanual / Absoluta";4;2;11,5;;"Febrer del 2024 (p)"
"Costa Daurada";"Variació interanual / % mes";4;3;19,1;;"Febrer del 2024 (p)"
"Costa Daurada";"Variació interanual / % acumulat";4;4;8,3;;"Febrer del 2024 (p)"
"Costa Barcelona";Valor;5;1;406;;"Febrer del 2024 (p)"
"Costa Barcelona";"Variació interanual / Absoluta";5;2;52,3;;"Febrer del 2024 (p)"
"Costa Barcelona";"Variació interanual / % mes";5;3;14,8;;"Febrer del 2024 (p)"
"Costa Barcelona";"Variació interanual / % acumulat";5;4;12,4;;"Febrer del 2024 (p)"
"Paisatges Barcelona";Valor;6;1;27,7;;"Febrer del 2024 (p)"
"Paisatges Barcelona";"Variació interanual / Absoluta";6;2;4,7;;"Febrer del 2024 (p)"
"Paisatges Barcelona";"Variació interanual / % mes";6;3;20,3;;"Febrer del 2024 (p)"
"Paisatges Barcelona";"Variació interanual / % acumulat";6;4;13,4;;"Febrer del 2024 (p)"
Pirineus;Valor;7;1;136,2;;"Febrer del 2024 (p)"
Pirineus;"Variació interanual / Absoluta";7;2;;..;"Febrer del 2024 (p)"
Pirineus;"Variació interanual / % mes";7;3;;..;"Febrer del 2024 (p)"
Pirineus;"Variació interanual / % acumulat";7;4;;..;"Febrer del 2024 (p)"
"Terres de Lleida";Valor;8;1;36;;"Febrer del 2024 (p)"
"Terres de Lleida";"Variació interanual / Absoluta";8;2;;..;"Febrer del 2024 (p)"
"Terres de Lleida";"Variació interanual / % mes";8;3;;..;"Febrer del 2024 (p)"
"Terres de Lleida";"Variació interanual / % acumulat";8;4;;..;"Febrer del 2024 (p)"
"Terres de l'Ebre";Valor;9;1;21,7;;"Febrer del 2024 (p)"
"Terres de l'Ebre";"Variació interanual / Absoluta";9;2;-0,5;;"Febrer del 2024 (p)"
"Terres de l'Ebre";"Variació interanual / % mes";9;3;-2,1;;"Febrer del 2024 (p)"
"Terres de l'Ebre";"Variació interanual / % acumulat";9;4;-10,5;;"Febrer del 2024 (p)"
"Val d'Aran";Valor;10;1;135;;"Febrer del 2024 (p)"
"Val d'Aran";"Variació interanual / Absoluta";10;2;5,5;;"Febrer del 2024 (p)"
"Val d'Aran";"Variació interanual / % mes";10;3;4,2;;"Febrer del 2024 (p)"
"Val d'Aran";"Variació interanual / % acumulat";10;4;16,1;;"Febrer del 2024 (p)"
