row;col;r;c;value;status;ref
"Total pernoctacions";Valor;1;1;2584,5;;"Febrer del 2025 (p)"
"Total pernoctacions";"Variació interanual / Absoluta";1;2;-110,6;;"Febrer del 2025 (p)"
"Total pernoctacions";"Variació interanual / % mes";1;3;-4,1;;"Febrer del 2025 (p)"
"Total pernoctacions";"Variació interanual / % acumulat";1;4;-0,3;;"Febrer del 2025 (p)"
Barcelona;Valor;2;1;1555,1;;"Febrer del 2025 (p)"
Barcelona;"Variació interanual / Absoluta";2;2;-87,6;;"Febrer del 2025 (p)"
Barcelona;"Variació interanual / % mes";2;3;-5,3;;"Febrer del 2025 (p)"
Barcelona;"Variació interanual / % acumulat";2;4;-2,3;;"Febrer del 2025 (p)"
"Costa Brava";Valor;3;1;228,2;;"Febrer del 2025 (p)"
"Costa Brava";"Variació interanual / Absoluta";3;2;10,2;;"Febrer del 2025 (p)"
"Costa Brava";"Variació interanual / % mes";3;3;4,7;;"Febrer del 2025 (p)"
"Costa Brava";"Variació interanual / % acumulat";3;4;7,6;;"Febrer del 2025 (p)"
"Costa Daurada";Valor;4;1;71,3;;"Febrer del 2025 (p)"
"Costa Daurada";"Variació interanual / Absoluta";4;2;-0,5;;"Febrer del 2025 (p)"
"Costa Daurada";"Variació interanual / % mes";4;3;-0,7;;"Febrer del 2025 (p)"
"Costa Daurada";"Variació interanual / % acumulat";4;4;-11;;"Febrer del 2025 (p)"
"Costa Barcelona";Valor;5;1;358,8;;"Febrer del 2025 (p)"
"Costa Barcelona";"Variació interanual / Absoluta";5;2;-47,3;;"Febrer del 2025 (p)"
"Costa Barcelona";"Variació interanual / % mes";5;3;-11,6;;"Febrer del 2025 (p)"
"Costa Barcelona";"Variació interanual / % acumulat";5;4;0,2;;"Febrer del 2025 (p)"
"Paisatges Barcelona";Valor;6;1;32,9;;"Febrer del 2025 (p)"
"Paisatges Barcelona";"Variació interanual / Absoluta";6;2;5,2;;"Febrer del 2025 (p)"
"Paisatges Barcelona";"Variació interanual / % mes";6;3;18,9;;"Febrer del 2025 (p)"
"Paisatges Barcelona";"Variació interanual / % acumulat";6;4;18,2;;"Febrer del 2025 (p)"
Pirineus;Valor;7;1;156,7;;"Febrer del 2025 (p)"
Pirineus;"Variació interanual / Absoluta";7;2;20,6;;"Febrer del 2025 (p)"
Pirineus;"Variació interanual / % mes";7;3;15,1;;"Febrer del 2025 (p)"
Pirineus;"Variació interanual / % acumulat";7;4;19,2;;"Febrer del 2025 (p)"
"Terres de Lleida";Valor;8;1;35,1;;"Febrer del 2025 (p)"
"Terres de Lleida";"Variació interanual / Absoluta";8;2;-0,9;;"Febrer del 2025 (p)"
"Terres de Lleida";"Variació interanual / % mes";8;3;-2,6;;"Febrer del 2025 (p)"
"Terres de Lleida";"Variació interanual / % acumulat";8;4;-4;;"Febrer del 2025 (p)"
"Terres de l'Ebre";Valor;9;1;17,8;;"Febrer del 2025 (p)"
"Terres de l'Ebre";"Variació interanual / Absoluta";9;2;-3,9;;"Febrer del 2025 (p)"
"Terres de l'Ebre";"Variació interanual / % mes";9;3;-18,1;;"Febrer del 2025 (p)"
"Terres de l'Ebre";"Variació interanual / % acumulat";9;4;-0,2;;"Febrer del 2025 (p)"
"Val d'Aran";Valor;10;1;128,6;;"Febrer del 2025 (p)"
"Val d'Aran";"Variació interanual / Absoluta";10;2;-6,4;;"Febrer del 2025 (p)"
"Val d'Aran";"Variació interanual / % mes";10;3;-4,8;;"Febrer del 2025 (p)"
"Val d'Aran";"Variació interanual / % acumulat";10;4;-4,5;;"Febrer del 2025 (p)"
