row;col;r;c;value;status;ref
"Total pernoctacions";Valor;1;1;2392,7;;"Gener del 2025 (p)"
"Total pernoctacions";"Variació interanual / Absoluta";1;2;96,1;;"Gener del 2025 (p)"
"Total pernoctacions";"Variació interanual / % mes";1;3;4,2;;"Gener del 2025 (p)"
"Total pernoctacions";"Variació interanual / % acumulat";1;4;4,2;;"Gener del 2025 (p)"
Barcelona;Valor;2;1;1466,6;;"Gener del 2025 (p)"
Barcelona;"Variació interanual / Absoluta";2;2;17,2;;"Gener del 2025 (p)"
Barcelona;"Variació interanual / % mes";2;3;1,2;;"Gener del 2025 (p)"
Barcelona;"Variació interanual / % acumulat";2;4;1,2;;"Gener del 2025 (p)"
"Costa Brava";Valor;3;1;180,6;;"Gener del 2025 (p)"
"Costa Brava";"Variació interanual / Absoluta";3;2;18,6;;"Gener del 2025 (p)"
"Costa Brava";"Variació interanual / % mes";3;3;11,5;;"Gener del 2025 (p)"
"Costa Brava";"Variació interanual / % acumulat";3;4;11,5;;"Gener del 2025 (p)"
"Costa Daurada";Valor;4;1;57,9;;"Gener del 2025 (p)"
"Costa Daurada";"Variació interanual / Absoluta";4;2;-15,5;;"Gener del 2025 (p)"
"Costa Daurada";"Variació interanual / % mes";4;3;-21,1;;"Gener del 2025 (p)"
"Costa Daurada";"Variació interanual / % acumulat";4;4;-21,1;;"Gener del 2025 (p)"
"Costa Barcelona";Valor;5;1;352,8;;"Gener del 2025 (p)"
"Costa Barcelona";"Variació interanual / Absoluta";5;2;48,6;;"Gener del 2025 (p)"
"Costa Barcelona";"Variació interanual / % mes";5;3;16;;"Gener del 2025 (p)"
"Costa Barcelona";"Variació interanual / % acumulat";5;4;16;;"Gener del 2025 (p)"
"Paisatges Barcelona";Valor;6;1;24,1;;"Gener del 2025 (p)"
"Paisatges Barcelona";"Variació interanual / Absoluta";6;2;3,6;;"Gener del 2025 (p)"
"Paisatges Barcelona";"Variació interanual / % mes";6;3;17,4;;"Gener del 2025 (p)"
"Paisatges Barcelona";"Variació interanual / % acumulat";6;4;17,4;;"Gener del 2025 (p)"
Pirineus;Valor;7;1;139,4;;"Gener del 2025 (p)"
Pirineus;"Variació interanual / Absoluta";7;2;27;;"Gener del 2025 (p)"
Pirineus;"Variació interanual / % mes";7;3;24;;"Gener del 2025 (p)"
Pirineus;"Variació interanual / % acumulat";7;4;24;;"Gener del 2025 (p)"
"Terres de Lleida";Valor;8;1;29,4;;"Gener del 2025 (p)"
"Terres de Lleida";"Variació interanual / Absoluta";8;2;-1,8;;"Gener del 2025 (p)"
"Terres de Lleida";"Variació interanual / % mes";8;3;-5,6;;"Gener del 2025 (p)"
"Terres de Lleida";"Variació interanual / % acumulat";8;4;-5,6;;"Gener del 2025 (p)"
"Terres de l'Ebre";Valor;9;1;15,2;;"Gener del 2025 (p)"
"Terres de l'Ebre";"Variació interanual / Absoluta";9;2;3,8;;"Gener del 2025 (p)"
"Terres de l'Ebre";"Variació interanual / % mes";9;3;33,9;;"Gener del 2025 (p)"
"Terres de l'Ebre";"Variació interanual / % acumulat";9;4;33,9;;"Gener del 2025 (p)"
"Val d'Aran";Valor;10;1;126,8;;"Gener del 2025 (p)"
"Val d'Aran";"Variació interanual / Absoluta";10;2;-5,5;;"Gener del 2025 (p)"
"Val d'Aran";"Variació interanual / % mes";10;3;-4,2;;"Gener del 2025 (p)"
"Val d'Aran";"Variació interanual / % acumulat";10;4;-4,2;;"Gener del 2025 (p)"
