row;col;r;c;value;status;ref
"Total pernoctacions";Valor;1;1;3241,7;;"Març del 2025 (p)"
"Total pernoctacions";"Variació interanual / Absoluta";1;2;-419,2;;"Març del 2025 (p)"
"Total pernoctacions";"Variació interanual / % mes";1;3;-11,5;;"Març del 2025 (p)"
"Total pernoctacions";"Variació interanual / % acumulat";1;4;-5;;"Març del 2025 (p)"
Barcelona;Valor;2;1;1827,9;;"Març del 2025 (p)"
Barcelona;"Variació interanual / Absoluta";2;2;-115,2;;"Març del 2025 (p)"
Barcelona;"Variació interanual / % mes";2;3;-5,9;;"Març del 2025 (p)"
Barcelona;"Variació interanual / % acumulat";2;4;-3,7;;"Març del 2025 (p)"
"Costa Brava";Valor;3;1;430;;"Març del 2025 (p)"
"Costa Brava";"Variació interanual / Absoluta";3;2;-66;;"Març del 2025 (p)"
"Costa Brava";"Variació interanual / % mes";3;3;-13,3;;"Març del 2025 (p)"
"Costa Brava";"Variació interanual / % acumulat";3;4;-4,2;;"Març del 2025 (p)"
"Costa Daurada";Valor;4;1;132,9;;"Març del 2025 (p)"
"Costa Daurada";"Variació interanual / Absoluta";4;2;-145,2;;"Març del 2025 (p)"
"Costa Daurada";"Variació interanual / % mes";4;3;-52,2;;"Març del 2025 (p)"
"Costa Daurada";"Variació interanual / % acumulat";4;4;-38,1;;"Març del 2025 (p)"
"Costa Barcelona";Valor;5;1;510,3;;"Març del 2025 (p)"
"Costa Barcelona";"Variació interanual / Absoluta";5;2;-41,5;;"Març del 2025 (p)"
"Costa Barcelona";"Variació interanual / % mes";5;3;-7,5;;"Març del 2025 (p)"
"Costa Barcelona";"Variació interanual / % acumulat";5;4;-3,2;;"Març del 2025 (p)"
"Paisatges Barcelona";Valor;6;1;34;;"Març del 2025 (p)"
"Paisatges Barcelona";"Variació interanual / Absoluta";6;2;-3,2;;"Març del 2025 (p)"
"Paisatges Barcelona";"Variació interanual / % mes";6;3;-8,7;;"Març del 2025 (p)"
"Paisatges Barcelona";"Variació interanual / % acumulat";6;4;6,5;;"Març del 2025 (p)"
Pirineus;Valor;7;1;126,1;;"Març del 2025 (p)"
Pirineus;"Variació interanual / Absoluta";7;2;-15,8;;"Març del 2025 (p)"
Pirineus;"Variació interanual / % mes";7;3;-11,2;;"Març del 2025 (p)"
Pirineus;"Variació interanual / % acumulat";7;4;8,1;;"Març del 2025 (p)"
"Terres de Lleida";Valor;8;1;42;;"Març del 2025 (p)"
"Terres de Lleida";"Variació interanual / Absoluta";8;2;-4,1;;"Març del 2025 (p)"
"Terres de Lleida";"Variació interanual / % mes";8;3;-8,9;;"Març del 2025 (p)"
"Terres de Lleida";"Variació interanual / % acumulat";8;4;-6;;"Març del 2025 (p)"
"Terres de l'Ebre";Valor;9;1;36,7;;"Març del 2025 (p)"
"Terres de l'Ebre";"Variació interanual / Absoluta";9;2;-14;;"Març del 2025 (p)"
"Terres de l'Ebre";"Variació interanual / % mes";9;3;-27,7;;"Març del 2025 (p)"
"Terres de l'Ebre";"Variació interanual / % acumulat";9;4;-16,8;;"Març del 2025 (p)"
"Val d'Aran";Valor;10;1;101,9;;"Març del 2025 (p)"
"Val d'Aran";"Variació interanual / Absoluta";10;2;-14,2;;"Març del 2025 (p)"
"Val d'Aran";"Variació interanual / % mes";10;3;-12,2;;"Març del 2025 (p)"
"Val d'Aran";"Variació interanual / % acumulat";10;4;-6,8;;"Març del 2025 (p)"
