row;col;r;c;value;status;ref
"Total pernoctacions";Valor;1;1;8217,5;;"Juliol del 2025 (p)"
"Total pernoctacions";"Variació interanual / Absoluta";1;2;16,3;;"Juliol del 2025 (p)"
"Total pernoctacions";"Variació interanual / % mes";1;3;0,2;;"Juliol del 2025 (p)"
"Total pernoctacions";"Variació interanual / % acumulat";1;4;-0,2;;"Juliol del 2025 (p)"
Barcelona;Valor;2;1;2234,1;;"Juliol del 2025 (p)"
Barcelona;"Variació interanual / Absoluta";2;2;-29,6;;"Juliol del 2025 (p)"
Barcelona;"Variació interanual / % mes";2;3;-1,3;;"Juliol del 2025 (p)"
Barcelona;"Variació interanual / % acumulat";2;4;-2,2;;"Juliol del 2025 (p)"
"Costa Brava";Valor;3;1;2098,2;;"Juliol del 2025 (p)"
"Costa Brava";"Variació interanual / Absoluta";3;2;-35,4;;"Juliol del 2025 (p)"
"Costa Brava";"Variació interanual / % mes";3;3;-1,7;;"Juliol del 2025 (p)"
"Costa Brava";"Variació interanual / % acumulat";3;4;1,6;;"Juliol del 2025 (p)"
"Costa Daurada";Valor;4;1;1801,9;;"Juliol del 2025 (p)"
"Costa Daurada";"Variació interanual / Absoluta";4;2;31,6;;"Juliol del 2025 (p)"
"Costa Daurada";"Variació interanual / % mes";4;3;1,8;;"Juliol del 2025 (p)"
"Costa Daurada";"Variació interanual / % acumulat";4;4;-0,2;;"Juliol del 2025 (p)"
"Costa Barcelona";Valor;5;1;1597,4;;"Juliol del 2025 (p)"
"Costa Barcelona";"Variació interanual / Absoluta";5;2;25,5;;"Juliol del 2025 (p)"
"Costa Barcelona";"Variació interanual / % mes";5;3;1,6;;"Juliol del 2025 (p)"
"Costa Barcelona";"Variació interanual / % acumulat";5;4;-0,1;;"Juliol del 2025 (p)"
"Paisatges Barcelona";Valor;6;1;66;;"Juliol del 2025 (p)"
"Paisatges Barcelona";"Variació interanual / Absoluta";6;2;23,8;;"Juliol del 2025 (p)"
"Paisatges Barcelona";"Variació interanual / % mes";6;3;56,3;;"Juliol del 2025 (p)"
"Paisatges Barcelona";"Variació interanual / % acumulat";6;4;26,2;;"Juliol del 2025 (p)"
Pirineus;Valor;7;1;175,5;;"Juliol del 2025 (p)"
Pirineus;"Variació interanual / Absoluta";7;2;-11,6;;"Juliol del 2025 (p)"
Pirineus;"Variació interanual / % mes";7;3;-6,2;;"Juliol del 2025 (p)"
Pirineus;"Variació interanual / % acumulat";7;4;7,3;;"Juliol del 2025 (p)"
"Terres de Lleida";Valor;8;1;51,3;;"Juliol del 2025 (p)"
"Terres de Lleida";"Variació interanual / Absoluta";8;2;2;;"Juliol del 2025 (p)"
"Terres de Lleida";"Variació interanual / % mes";8;3;4,1;;"Juliol del 2025 (p)"
"Terres de Lleida";"Variació interanual / % acumulat";8;4;-2,9;;"Juliol del 2025 (p)"
"Terres de l'Ebre";Valor;9;1;118,9;;"Juliol del 2025 (p)"
"Terres de l'Ebre";"Variació interanual / Absoluta";9;2;5,9;;"Juliol del 2025 (p)"
"Terres de l'Ebre";"Variació interanual / % mes";9;3;5,2;;"Juliol del 2025 (p)"
"Terres de l'Ebre";"Variació interanual / % acumulat";9;4;-0,6;;"Juliol del 2025 (p)"
"Val d'Aran";Valor;10;1;74,1;;"Juliol del 2025 (p)"
"Val d'Aran";"Variació interanual / Absoluta";10;2;4,1;;"Juliol del 2025 (p)"
"Val d'Aran";"Variació interanual / % mes";10;3;5,9;;"Juliol del 2025 (p)"
"Val d'Aran";"Variació interanual / % acumulat";10;4;3,2;;"Juliol del 2025 (p)"
