row;col;r;c;value;status;ref
"Total pernoctacions";Valor;1;1;6056,3;;"Maig del 2025 (p)"
"Total pernoctacions";"Variació interanual / Absoluta";1;2;-187,1;;"Maig del 2025 (p)"
"Total pernoctacions";"Variació interanual / % mes";1;3;-3;;"Maig del 2025 (p)"
"Total pernoctacions";"Variació interanual / % acumulat";1;4;-0,4;;"Maig del 2025 (p)"
Barcelona;Valor;2;1;2080,1;;"Maig del 2025 (p)"
Barcelona;"Variació interanual / Absoluta";2;2;-110,4;;"Maig del 2025 (p)"
Barcelona;"Variació interanual / % mes";2;3;-5;;"Maig del 2025 (p)"
Barcelona;"Variació interanual / % acumulat";2;4;-2,6;;"Maig del 2025 (p)"
"Costa Brava";Valor;3;1;1281,1;;"Maig del 2025 (p)"
"Costa Brava";"Variació interanual / Absoluta";3;2;-37,6;;"Maig del 2025 (p)"
"Costa Brava";"Variació interanual / % mes";3;3;-2,8;;"Maig del 2025 (p)"
"Costa Brava";"Variació interanual / % acumulat";3;4;3,3;;"Maig del 2025 (p)"
"Costa Daurada";Valor;4;1;1221;;"Maig del 2025 (p)"
"Costa Daurada";"Variació interanual / Absoluta";4;2;-40,9;;"Maig del 2025 (p)"
"Costa Daurada";"Variació interanual / % mes";4;3;-3,2;;"Maig del 2025 (p)"
"Costa Daurada";"Variació interanual / % acumulat";4;4;-0,4;;"Maig del 2025 (p)"
"Costa Barcelona";Valor;5;1;1174,4;;"Maig del 2025 (p)"
"Costa Barcelona";"Variació interanual / Absoluta";5;2;-21,5;;"Maig del 2025 (p)"
"Costa Barcelona";"Variació interanual / % mes";5;3;-1,8;;"Maig del 2025 (p)"
"Costa Barcelona";"Variació interanual / % acumulat";5;4;-0,8;;"Maig del 2025 (p)"
"Paisatges Barcelona";Valor;6;1;61,8;;"Maig del 2025 (p)"
"Paisatges Barcelona";"Variació interanual / Absoluta";6;2;19,7;;"Maig del 2025 (p)"
"Paisatges Barcelona";"Variació interanual / % mes";6;3;46,9;;"Maig del 2025 (p)"
"Paisatges Barcelona";"Variació interanual / % acumulat";6;4;14,4;;"Maig del 2025 (p)"
Pirineus;Valor;7;1;96,2;;"Maig del 2025 (p)"
Pirineus;"Variació interanual / Absoluta";7;2;1,8;;"Maig del 2025 (p)"
Pirineus;"Variació interanual / % mes";7;3;2;;"Maig del 2025 (p)"
Pirineus;"Variació interanual / % acumulat";7;4;13,3;;"Maig del 2025 (p)"
"Terres de Lleida";Valor;8;1;47,2;;"Maig del 2025 (p)"
"Terres de Lleida";"Variació interanual / Absoluta";8;2;-2,6;;"Maig del 2025 (p)"
"Terres de Lleida";"Variació interanual / % mes";8;3;-5,2;;"Maig del 2025 (p)"
"Terres de Lleida";"Variació interanual / % acumulat";8;4;-4,1;;"Maig del 2025 (p)"
"Terres de l'Ebre";Valor;9;1;68,1;;"Maig del 2025 (p)"
"Terres de l'Ebre";"Variació interanual / Absoluta";9;2;-7,7;;"Maig del 2025 (p)"
"Terres de l'Ebre";"Variació interanual / % mes";9;3;-10,2;;"Maig del 2025 (p)"
"Terres de l'Ebre";"Variació interanual / % acumulat";9;4;-0,8;;"Maig del 2025 (p)"
"Val d'Aran";Valor;10;1;26,4;;"Maig del 2025 (p)"
"Val d'Aran";"Variació interanual / Absoluta";10;2;11,9;;"Maig del 2025 (p)"
"Val d'Aran";"Variació interanual / % mes";10;3;82,3;;"Maig del 2025 (p)"
"Val d'Aran";"Variació interanual / % acumulat";10;4;3,1;;"Maig del 2025 (p)"
