row;col;r;c;value;status;ref
"Total pernoctacions";Valor;1;1;6890,4;;"Juny del 2025 (p)"
"Total pernoctacions";"Variació interanual / Absoluta";1;2;-16,4;;"Juny del 2025 (p)"
"Total pernoctacions";"Variació interanual / % mes";1;3;-0,2;;"Juny del 2025 (p)"
"Total pernoctacions";"Variació interanual / % acumulat";1;4;-0,4;;"Juny del 2025 (p)"
Barcelona;Valor;2;1;2056,6;;"Juny del 2025 (p)"
Barcelona;"Variació interanual / Absoluta";2;2;-32,9;;"Juny del 2025 (p)"
Barcelona;"Variació interanual / % mes";2;3;-1,6;;"Juny del 2025 (p)"
Barcelona;"Variació interanual / % acumulat";2;4;-2,4;;"Juny del 2025 (p)"
"Costa Brava";Valor;3;1;1594,3;;"Juny del 2025 (p)"
"Costa Brava";"Variació interanual / Absoluta";3;2;42,4;;"Juny del 2025 (p)"
"Costa Brava";"Variació interanual / % mes";3;3;2,7;;"Juny del 2025 (p)"
"Costa Brava";"Variació interanual / % acumulat";3;4;3,1;;"Juny del 2025 (p)"
"Costa Daurada";Valor;4;1;1516,1;;"Juny del 2025 (p)"
"Costa Daurada";"Variació interanual / Absoluta";4;2;-33,8;;"Juny del 2025 (p)"
"Costa Daurada";"Variació interanual / % mes";4;3;-2,2;;"Juny del 2025 (p)"
"Costa Daurada";"Variació interanual / % acumulat";4;4;-1,1;;"Juny del 2025 (p)"
"Costa Barcelona";Valor;5;1;1353,7;;"Juny del 2025 (p)"
"Costa Barcelona";"Variació interanual / Absoluta";5;2;-3,9;;"Juny del 2025 (p)"
"Costa Barcelona";"Variació interanual / % mes";5;3;-0,3;;"Juny del 2025 (p)"
"Costa Barcelona";"Variació interanual / % acumulat";5;4;-0,7;;"Juny del 2025 (p)"
"Paisatges Barcelona";Valor;6;1;66,8;;"Juny del 2025 (p)"
"Paisatges Barcelona";"Variació interanual / Absoluta";6;2;19,2;;"Juny del 2025 (p)"
"Paisatges Barcelona";"Variació interanual / % mes";6;3;40,4;;"Juny del 2025 (p)"
"Paisatges Barcelona";"Variació interanual / % acumulat";6;4;20,2;;"Juny del 2025 (p)"
Pirineus;Valor;7;1;132,4;;"Juny del 2025 (p)"
Pirineus;"Variació interanual / Absoluta";7;2;1,8;;"Juny del 2025 (p)"
Pirineus;"Variació interanual / % mes";7;3;1,4;;"Juny del 2025 (p)"
Pirineus;"Variació interanual / % acumulat";7;4;11;;"Juny del 2025 (p)"
"Terres de Lleida";Valor;8;1;48,3;;"Juny del 2025 (p)"
"Terres de Lleida";"Variació interanual / Absoluta";8;2;-2,4;;"Juny del 2025 (p)"
"Terres de Lleida";"Variació interanual / % mes";8;3;-4,7;;"Juny del 2025 (p)"
"Terres de Lleida";"Variació interanual / % acumulat";8;4;-4,2;;"Juny del 2025 (p)"
"Terres de l'Ebre";Valor;9;1;86,5;;"Juny del 2025 (p)"
"Terres de l'Ebre";"Variació interanual / Absoluta";9;2;-6,5;;"Juny del 2025 (p)"
"Terres de l'Ebre";"Variació interanual / % mes";9;3;-7;;"Juny del 2025 (p)"
"Terres de l'Ebre";"Variació interanual / % acumulat";9;4;-2,7;;"Juny del 2025 (p)"
"Val d'Aran";Valor;10;1;35,7;;"Juny del 2025 (p)"
"Val d'Aran";"Variació interanual / Absoluta";10;2;-0,3;;"Juny del 2025 (p)"
"Val d'Aran";"Variació interanual / % mes";10;3;-0,9;;"Juny del 2025 (p)"
"Val d'Aran";"Variació interanual / % acumulat";10;4;2,8;;"Juny del 2025 (p)"
