row;col;r;c;value;status;ref
"Total pernoctacions";Valor;1;1;3660,9;;"Març del 2024"
"Total pernoctacions";"Variació interanual / Absoluta";1;2;550,2;;"Març del 2024"
"Total pernoctacions";"Variació interanual / % mes";1;3;17,7;;"Març del 2024"
"Total pernoctacions";"Variació interanual / % acumulat";1;4;9,4;;"Març del 2024"
Barcelona;Valor;2;1;1943,1;;"Març del 2024"
Barcelona;"Variació interanual / Absoluta";2;2;115,3;;"Març del 2024"
Barcelona;"Variació interanual / % mes";2;3;6,3;;"Març del 2024"
Barcelona;"Variació interanual / % acumulat";2;4;4,9;;"Març del 2024"
"Catalunya Central";Valor;3;1;;z;"Març del 2024"
"Catalunya Central";"Variació interanual / Absoluta";3;2;;z;"Març del 2024"
"Catalunya Central";"Variació interanual / % mes";3;3;;z;"Març del 2024"
"Catalunya Central";"Variació interanual / % acumulat";3;4;;z;"Març del 2024"
"Costa Brava";Valor;4;1;496;;"Març del 2024"
"Costa Brava";"Variació interanual / Absoluta";4;2;135,1;;"Març del 2024"
"Costa Brava";"Variació interanual / % mes";4;3;37,4;;"Març del 2024"
"Costa Brava";"Variació interanual / % acumulat";4;4;14,8;;"Març del 2024"
"Costa Daurada";Valor;5;1;278,1;;"Març del 2024"
"Costa Daurada";"Variació interanual / Absoluta";5;2;174,1;;"Març del 2024"
"Costa Daurada";"Variació interanual / % mes";5;3;167,4;;"Març del 2024"
"Costa Daurada";"Variació interanual / % acumulat";5;4;77,8;;"Març del 2024"
"Costa de Garraf";Valor;6;1;;z;"Març del 2024"
"Costa de Garraf";"Variació interanual / Absoluta";6;2;;z;"Març del 2024"
"Costa de Garraf";"Variació interanual / % mes";6;3;;z;"Març del 2024"
"Costa de Garraf";"Variació interanual / % acumulat";6;4;;z;"Març del 2024"
"Costa Barcelona-Maresme";Valor;7;1;;z;"Març del 2024"
"Costa Barcelona-Maresme";"Variació interanual / Absoluta";7;2;;z;"Març del 2024"
"Costa Barcelona-Maresme";"Variació interanual / % mes";7;3;;z;"Març del 2024"
"Costa Barcelona-Maresme";"Variació interanual / % acumulat";7;4;;z;"Març del 2024"
"Costa Barcelona";Valor;8;1;551,7;;"Març del 2024"
"Costa Barcelona";"Variació interanual / Absoluta";8;2;72,7;;"Març del 2024"
"Costa Barcelona";"Variació interanual / % mes";8;3;15,2;;"Març del 2024"
"Costa Barcelona";"Variació interanual / % acumulat";8;4;13,6;;"Març del 2024"
"Paisatges Barcelona";Valor;9;1;37,2;;"Març del 2024"
"Paisatges Barcelona";"Variació interanual / Absoluta";9;2;3,1;;"Març del 2024"
"Paisatges Barcelona";"Variació interanual / % mes";9;3;9,2;;"Març del 2024"
"Paisatges Barcelona";"Variació interanual / % acumulat";9;4;11,5;;"Març del 2024"
Pirineus;Valor;10;1;142;;"Març del 2024"
Pirineus;"Variació interanual / Absoluta";10;2;;..;"Març del 2024"
Pirineus;"Variació interanual / % mes";10;3;;..;"Març del 2024"
Pirineus;"Variació interanual / % acumulat";10;4;;..;"Març del 2024"
"Terres de Lleida";Valor;11;1;46,1;;"Març del 2024"
"Terres de Lleida";"Variació interanual / Absoluta";11;2;;..;"Març del 2024"
"Terres de Lleida";"Variació interanual / % mes";11;3;;..;"Març del 2024"
"Terres de Lleida";"Variació interanual / % acumulat";11;4;;..;"Març del 2024"
"Terres de l'Ebre";Valor;12;1;50,7;;"Març del 2024"
"Terres de l'Ebre";"Variació interanual / Absoluta";12;2;-1,5;;"Març del 2024"
"Terres de l'Ebre";"Variació interanual / % mes";12;3;-2,9;;"Març del 2024"
"Terres de l'Ebre";"Variació interanual / % acumulat";12;4;-6,1;;"Març del 2024"
"Val d'Aran";Valor;13;1;116,1;;"Març del 2024"
"Val d'Aran";"Variació interanual / Absoluta";13;2;32,3;;"Març del 2024"
"Val d'Aran";"Variació interanual / % mes";13;3;38,5;;"Març del 2024"
"Val d'Aran";"Variació interanual / % acumulat";13;4;22,1;;"Març del 2024"
