row;col;r;c;value;status;ref
"Total pernoctacions";Valor;1;1;6667,1;;"Setembre del 2024 (p)"
"Total pernoctacions";"Variació interanual / Absoluta";1;2;74,6;;"Setembre del 2024 (p)"
"Total pernoctacions";"Variació interanual / % mes";1;3;1,1;;"Setembre del 2024 (p)"
"Total pernoctacions";"Variació interanual / % acumulat";1;4;4;;"Setembre del 2024 (p)"
Barcelona;Valor;2;1;1974,8;;"Setembre del 2024 (p)"
Barcelona;"Variació interanual / Absoluta";2;2;-82;;"Setembre del 2024 (p)"
Barcelona;"Variació interanual / % mes";2;3;-4;;"Setembre del 2024 (p)"
Barcelona;"Variació interanual / % acumulat";2;4;1,6;;"Setembre del 2024 (p)"
"Costa Brava";Valor;3;1;1590,6;;"Setembre del 2024 (p)"
"Costa Brava";"Variació interanual / Absoluta";3;2;65,5;;"Setembre del 2024 (p)"
"Costa Brava";"Variació interanual / % mes";3;3;4,3;;"Setembre del 2024 (p)"
"Costa Brava";"Variació interanual / % acumulat";3;4;5,1;;"Setembre del 2024 (p)"
"Costa Daurada";Valor;4;1;1436,1;;"Setembre del 2024 (p)"
"Costa Daurada";"Variació interanual / Absoluta";4;2;4;;"Setembre del 2024 (p)"
"Costa Daurada";"Variació interanual / % mes";4;3;0,3;;"Setembre del 2024 (p)"
"Costa Daurada";"Variació interanual / % acumulat";4;4;4,7;;"Setembre del 2024 (p)"
"Costa Barcelona";Valor;5;1;1343,7;;"Setembre del 2024 (p)"
"Costa Barcelona";"Variació interanual / Absoluta";5;2;94,5;;"Setembre del 2024 (p)"
"Costa Barcelona";"Variació interanual / % mes";5;3;7,6;;"Setembre del 2024 (p)"
"Costa Barcelona";"Variació interanual / % acumulat";5;4;8,1;;"Setembre del 2024 (p)"
"Paisatges Barcelona";Valor;6;1;40,2;;"Setembre del 2024 (p)"
"Paisatges Barcelona";"Variació interanual / Absoluta";6;2;4,5;;"Setembre del 2024 (p)"
"Paisatges Barcelona";"Variació interanual / % mes";6;3;12,6;;"Setembre del 2024 (p)"
"Paisatges Barcelona";"Variació interanual / % acumulat";6;4;11,2;;"Setembre del 2024 (p)"
Pirineus;Valor;7;1;111,9;;"Setembre del 2024 (p)"
Pirineus;"Variació interanual / Absoluta";7;2;;..;"Setembre del 2024 (p)"
Pirineus;"Variació interanual / % mes";7;3;;..;"Setembre del 2024 (p)"
Pirineus;"Variació interanual / % acumulat";7;4;;..;"Setembre del 2024 (p)"
"Terres de Lleida";Valor;8;1;45,6;;"Setembre del 2024 (p)"
"Terres de Lleida";"Variació interanual / Absoluta";8;2;;..;"Setembre del 2024 (p)"
"Terres de Lleida";"Variació interanual / % mes";8;3;;..;"Setembre del 2024 (p)"
"Terres de Lleida";"Variació interanual / % acumulat";8;4;;..;"Setembre del 2024 (p)"
"Terres de l'Ebre";Valor;9;1;80,5;;"Setembre del 2024 (p)"
"Terres de l'Ebre";"Variació interanual / Absoluta";9;2;4,1;;"Setembre del 2024 (p)"
"Terres de l'Ebre";"Variació interanual / % mes";9;3;5,3;;"Setembre del 2024 (p)"
"Terres de l'Ebre";"Variació interanual / % acumulat";9;4;0,1;;"Setembre del 2024 (p)"
"Val d'Aran";Valor;10;1;43,8;;"Setembre del 2024 (p)"
"Val d'Aran";"Variació interanual / Absoluta";10;2;-0,9;;"Setembre del 2024 (p)"
"Val d'Aran";"Variació interanual / % mes";10;3;-2;;"Setembre del 2024 (p)"
"Val d'Aran";"Variació interanual / % acumulat";10;4;10,8;;"Setembre del 2024 (p)"
