row;col;r;c;value;status;ref
"Total pernoctacions";Valor;1;1;2477,3;;"Desembre del 2024 (p)"
"Total pernoctacions";"Variació interanual / Absoluta";1;2;-38,9;;"Desembre del 2024 (p)"
"Total pernoctacions";"Variació interanual / % mes";1;3;-1,5;;"Desembre del 2024 (p)"
"Total pernoctacions";"Variació interanual / % acumulat";1;4;3,3;;"Desembre del 2024 (p)"
Barcelona;Valor;2;1;1527,5;;"Desembre del 2024 (p)"
Barcelona;"Variació interanual / Absoluta";2;2;23,8;;"Desembre del 2024 (p)"
Barcelona;"Variació interanual / % mes";2;3;1,6;;"Desembre del 2024 (p)"
Barcelona;"Variació interanual / % acumulat";2;4;1,1;;"Desembre del 2024 (p)"
"Costa Brava";Valor;3;1;192,5;;"Desembre del 2024 (p)"
"Costa Brava";"Variació interanual / Absoluta";3;2;-53,9;;"Desembre del 2024 (p)"
"Costa Brava";"Variació interanual / % mes";3;3;-21,9;;"Desembre del 2024 (p)"
"Costa Brava";"Variació interanual / % acumulat";3;4;4;;"Desembre del 2024 (p)"
"Costa Daurada";Valor;4;1;137,2;;"Desembre del 2024 (p)"
"Costa Daurada";"Variació interanual / Absoluta";4;2;-10,1;;"Desembre del 2024 (p)"
"Costa Daurada";"Variació interanual / % mes";4;3;-6,8;;"Desembre del 2024 (p)"
"Costa Daurada";"Variació interanual / % acumulat";4;4;4,8;;"Desembre del 2024 (p)"
"Costa Barcelona";Valor;5;1;338,7;;"Desembre del 2024 (p)"
"Costa Barcelona";"Variació interanual / Absoluta";5;2;19,5;;"Desembre del 2024 (p)"
"Costa Barcelona";"Variació interanual / % mes";5;3;6,1;;"Desembre del 2024 (p)"
"Costa Barcelona";"Variació interanual / % acumulat";5;4;7,5;;"Desembre del 2024 (p)"
"Paisatges Barcelona";Valor;6;1;29,2;;"Desembre del 2024 (p)"
"Paisatges Barcelona";"Variació interanual / Absoluta";6;2;1,2;;"Desembre del 2024 (p)"
"Paisatges Barcelona";"Variació interanual / % mes";6;3;4,3;;"Desembre del 2024 (p)"
"Paisatges Barcelona";"Variació interanual / % acumulat";6;4;11,3;;"Desembre del 2024 (p)"
Pirineus;Valor;7;1;113,5;;"Desembre del 2024 (p)"
Pirineus;"Variació interanual / Absoluta";7;2;;..;"Desembre del 2024 (p)"
Pirineus;"Variació interanual / % mes";7;3;;..;"Desembre del 2024 (p)"
Pirineus;"Variació interanual / % acumulat";7;4;;..;"Desembre del 2024 (p)"
"Terres de Lleida";Valor;8;1;38,6;;"Desembre del 2024 (p)"
"Terres de Lleida";"Variació interanual / Absoluta";8;2;;..;"Desembre del 2024 (p)"
"Terres de Lleida";"Variació interanual / % mes";8;3;;..;"Desembre del 2024 (p)"
"Terres de Lleida";"Variació interanual / % acumulat";8;4;;..;"Desembre del 2024 (p)"
"Terres de l'Ebre";Valor;9;1;17;;"Desembre del 2024 (p)"
"Terres de l'Ebre";"Variació interanual / Absoluta";9;2;-2,3;;"Desembre del 2024 (p)"
"Terres de l'Ebre";"Variació interanual / % mes";9;3;-12,1;;"Desembre del 2024 (p)"
"Terres de l'Ebre";"Variació interanual / % acumulat";9;4;-2,2;;"Desembre del 2024 (p)"
"Val d'Aran";Valor;10;1;83;;"Desembre del 2024 (p)"
"Val d'Aran";"Variació interanual / Absoluta";10;2;-7,2;;"Desembre del 2024 (p)"
"Val d'Aran";"Variació interanual / % mes";10;3;-8;;"Desembre del 2024 (p)"
"Val d'Aran";"Variació interanual / % acumulat";10;4;7,7;;"Desembre del 2024 (p)"
