row;col;r;c;value;status;ref
"Total pernoctacions";Valor;1;1;5209,2;;"Octubre del 2023"
"Total pernoctacions";"Variació interanual / Absoluta";1;2;548;;"Octubre del 2023"
"Total pernoctacions";"Variació interanual / % mes";1;3;11,8;;"Octubre del 2023"
"Total pernoctacions";"Variació interanual / % acumulat";1;4;11;;"Octubre del 2023"
Barcelona;Valor;2;1;2097,6;;"Octubre del 2023"
Barcelona;"Variació interanual / Absoluta";2;2;34,9;;"Octubre del 2023"
Barcelona;"Variació interanual / % mes";2;3;1,7;;"Octubre del 2023"
Barcelona;"Variació interanual / % acumulat";2;4;11,5;;"Octubre del 2023"
"Costa Brava";Valor;3;1;1026,3;;"Octubre del 2023"
"Costa Brava";"Variació interanual / Absoluta";3;2;193,6;;"Octubre del 2023"
"Costa Brava";"Variació interanual / % mes";3;3;23,3;;"Octubre del 2023"
"Costa Brava";"Variació interanual / % acumulat";3;4;11,2;;"Octubre del 2023"
"Costa Daurada";Valor;4;1;797,8;;"Octubre del 2023"
"Costa Daurada";"Variació interanual / Absoluta";4;2;101,7;;"Octubre del 2023"
"Costa Daurada";"Variació interanual / % mes";4;3;14,6;;"Octubre del 2023"
"Costa Daurada";"Variació interanual / % acumulat";4;4;10,3;;"Octubre del 2023"
"Costa Barcelona";Valor;5;1;1024,3;;"Octubre del 2023"
"Costa Barcelona";"Variació interanual / Absoluta";5;2;210,9;;"Octubre del 2023"
"Costa Barcelona";"Variació interanual / % mes";5;3;25,9;;"Octubre del 2023"
"Costa Barcelona";"Variació interanual / % acumulat";5;4;14;;"Octubre del 2023"
"Paisatges Barcelona";Valor;6;1;41,1;;"Octubre del 2023"
"Paisatges Barcelona";"Variació interanual / Absoluta";6;2;2;;"Octubre del 2023"
"Paisatges Barcelona";"Variació interanual / % mes";6;3;5,1;;"Octubre del 2023"
"Paisatges Barcelona";"Variació interanual / % acumulat";6;4;4,8;;"Octubre del 2023"
Pirineus;Valor;7;1;107,6;;"Octubre del 2023"
Pirineus;"Variació interanual / Absoluta";7;2;9,2;;"Octubre del 2023"
Pirineus;"Variació interanual / % mes";7;3;9,3;;"Octubre del 2023"
Pirineus;"Variació interanual / % acumulat";7;4;7;;"Octubre del 2023"
"Terres de Lleida";Valor;8;1;46,6;;"Octubre del 2023"
"Terres de Lleida";"Variació interanual / Absoluta";8;2;0,1;;"Octubre del 2023"
"Terres de Lleida";"Variació interanual / % mes";8;3;0,3;;"Octubre del 2023"
"Terres de Lleida";"Variació interanual / % acumulat";8;4;-0,8;;"Octubre del 2023"
"Terres de l'Ebre";Valor;9;1;44,4;;"Octubre del 2023"
"Terres de l'Ebre";"Variació interanual / Absoluta";9;2;-1,7;;"Octubre del 2023"
"Terres de l'Ebre";"Variació interanual / % mes";9;3;-3,6;;"Octubre del 2023"
"Terres de l'Ebre";"Variació interanual / % acumulat";9;4;-1;;"Octubre del 2023"
"Val d'Aran";Valor;10;1;23,5;;"Octubre del 2023"
"Val d'Aran";"Variació interanual / Absoluta";10;2;-2,7;;"Octubre del 2023"
"Val d'Aran";"Variació interanual / % mes";10;3;-10,3;;"Octubre del 2023"
"Val d'Aran";"Variació interanual / % acumulat";10;4;-4,4;;"Octubre del 2023"
