row;col;r;c;value;status;ref
"Total pernoctacions";Valor;1;1;4444,9;;"Abril del 2024"
"Total pernoctacions";"Variació interanual / Absoluta";1;2;-403,9;;"Abril del 2024"
"Total pernoctacions";"Variació interanual / % mes";1;3;-8,3;;"Abril del 2024"
"Total pernoctacions";"Variació interanual / % acumulat";1;4;2,7;;"Abril del 2024"
Barcelona;Valor;2;1;2018,6;;"Abril del 2024"
Barcelona;"Variació interanual / Absoluta";2;2;-44,4;;"Abril del 2024"
Barcelona;"Variació interanual / % mes";2;3;-2,2;;"Abril del 2024"
Barcelona;"Variació interanual / % acumulat";2;4;2,8;;"Abril del 2024"
"Costa Brava";Valor;3;1;852,4;;"Abril del 2024"
"Costa Brava";"Variació interanual / Absoluta";3;2;-132;;"Abril del 2024"
"Costa Brava";"Variació interanual / % mes";3;3;-13,4;;"Abril del 2024"
"Costa Brava";"Variació interanual / % acumulat";3;4;-1,1;;"Abril del 2024"
"Costa Daurada";Valor;4;1;614,4;;"Abril del 2024"
"Costa Daurada";"Variació interanual / Absoluta";4;2;-132,8;;"Abril del 2024"
"Costa Daurada";"Variació interanual / % mes";4;3;-17,8;;"Abril del 2024"
"Costa Daurada";"Variació interanual / % acumulat";4;4;5,3;;"Abril del 2024"
"Costa Barcelona";Valor;5;1;746,2;;"Abril del 2024"
"Costa Barcelona";"Variació interanual / Absoluta";5;2;-24,8;;"Abril del 2024"
"Costa Barcelona";"Variació interanual / % mes";5;3;-3,2;;"Abril del 2024"
"Costa Barcelona";"Variació interanual / % acumulat";5;4;6,7;;"Abril del 2024"
"Paisatges Barcelona";Valor;6;1;38,2;;"Abril del 2024"
"Paisatges Barcelona";"Variació interanual / Absoluta";6;2;-2,1;;"Abril del 2024"
"Paisatges Barcelona";"Variació interanual / % mes";6;3;-5,2;;"Abril del 2024"
"Paisatges Barcelona";"Variació interanual / % acumulat";6;4;5,7;;"Abril del 2024"
Pirineus;Valor;7;1;67,9;;"Abril del 2024"
Pirineus;"Variació interanual / Absoluta";7;2;;..;"Abril del 2024"
Pirineus;"Variació interanual / % mes";7;3;;..;"Abril del 2024"
Pirineus;"Variació interanual / % acumulat";7;4;;..;"Abril del 2024"
"Terres de Lleida";Valor;8;1;43,1;;"Abril del 2024"
"Terres de Lleida";"Variació interanual / Absoluta";8;2;;..;"Abril del 2024"
"Terres de Lleida";"Variació interanual / % mes";8;3;;..;"Abril del 2024"
"Terres de Lleida";"Variació interanual / % acumulat";8;4;;..;"Abril del 2024"
"Terres de l'Ebre";Valor;9;1;47,9;;"Abril del 2024"
"Terres de l'Ebre";"Variació interanual / Absoluta";9;2;-11,6;;"Abril del 2024"
"Terres de l'Ebre";"Variació interanual / % mes";9;3;-19,4;;"Abril del 2024"
"Terres de l'Ebre";"Variació interanual / % acumulat";9;4;-11,4;;"Abril del 2024"
"Val d'Aran";Valor;10;1;16,2;;"Abril del 2024"
"Val d'Aran";"Variació interanual / Absoluta";10;2;-8,8;;"Abril del 2024"
"Val d'Aran";"Variació interanual / % mes";10;3;-35,3;;"Abril del 2024"
"Val d'Aran";"Variació interanual / % acumulat";10;4;17,9;;"Abril del 2024"
